frame,top,bottom,court,net,ball,pos,type
67668,"[[1098.104736328125, 475.0350646972656], [1100.954345703125, 470.727783203125], [1093.8304443359375, 470.727783203125], [1108.078125, 470.727783203125], [1090.9808349609375, 472.1635437011719], [1116.626708984375, 490.8284606933594], [1090.9808349609375, 489.3926696777344], [1123.7506103515625, 518.1078491210938], [1079.582763671875, 499.4430236816406], [1103.8038330078125, 515.236328125], [1076.733154296875, 509.4933166503906], [1116.626708984375, 539.644287109375], [1099.529541015625, 541.080078125], [1110.9276123046875, 584.1528930664062], [1103.8038330078125, 587.0244140625], [1109.5029296875, 627.2257690429688], [1119.476318359375, 614.3038940429688]]","[[917.7637939453125, 642.2142333984375], [917.7637939453125, 637.9068603515625], [919.1785888671875, 637.9068603515625], [920.5933227539062, 640.7784423828125], [946.0591430664062, 636.4710083007812], [916.3489990234375, 672.3661499023438], [965.865966796875, 666.6229248046875], [906.4456787109375, 714.0045776367188], [975.769287109375, 705.3897094726562], [907.8604125976562, 719.747802734375], [957.3773193359375, 714.0045776367188], [930.4967041015625, 744.156494140625], [960.2068481445312, 748.4639282226562], [926.25244140625, 801.5887451171875], [953.1329345703125, 792.9739379882812], [926.25244140625, 854.7135620117188], [950.303466796875, 837.48388671875]]","[[692, 581], [1231, 581], [630, 737], [1302, 737], [517, 1001], [1412, 1001]]","[[563, 537], [563, 737], [1364, 737], [1364, 537]]","[1090, 590]",None,None
67669,"[[1098.4788818359375, 475.20733642578125], [1101.3065185546875, 470.9053649902344], [1094.2373046875, 470.9053649902344], [1108.3758544921875, 470.9053649902344], [1091.4095458984375, 472.3393859863281], [1116.8590087890625, 490.9813232421875], [1091.4095458984375, 489.54730224609375], [1123.92822265625, 516.7932739257812], [1080.0987548828125, 499.5853271484375], [1104.13427734375, 515.3592529296875], [1077.27099609375, 509.623291015625], [1115.445068359375, 539.7372436523438], [1099.8927001953125, 541.1712036132812], [1109.7896728515625, 582.7571411132812], [1104.13427734375, 587.0591430664062], [1109.7896728515625, 627.2110595703125], [1119.686767578125, 614.3050537109375]]","[[934.3024291992188, 650.643798828125], [918.4705200195312, 637.7147827148438], [921.3490600585938, 640.587890625], [921.3490600585938, 640.587890625], [945.8165283203125, 636.2782592773438], [917.0313110351562, 670.755615234375], [964.5269775390625, 665.0093994140625], [906.9564208984375, 712.415771484375], [976.0410766601562, 703.7964477539062], [911.2742309570312, 722.4716796875], [958.7698974609375, 712.415771484375], [929.984619140625, 746.8931884765625], [960.2091064453125, 746.8931884765625], [925.6668701171875, 800.0458374023438], [953.0128784179688, 791.426513671875], [927.1060791015625, 853.1985473632812], [950.1343383789062, 834.5232543945312]]","[[692, 581], [1231, 581], [630, 737], [1302, 737], [517, 1001], [1412, 1001]]","[[563, 537], [563, 737], [1364, 737], [1364, 537]]","[1080, 592]",None,None
67670,"[[1098.4827880859375, 475.0060119628906], [1101.309814453125, 470.7065124511719], [1094.2423095703125, 472.1396789550781], [1108.37744140625, 470.7065124511719], [1091.4151611328125, 472.1396789550781], [1116.8585205078125, 492.2041015625], [1090.001708984375, 489.3377685546875], [1123.926025390625, 518.001220703125], [1080.1070556640625, 499.3699645996094], [1104.1368408203125, 516.5680541992188], [1077.280029296875, 509.40216064453125], [1115.4449462890625, 539.4988403320312], [1099.896240234375, 540.9320068359375], [1109.7908935546875, 582.4940185546875], [1104.1368408203125, 586.7935791015625], [1109.7908935546875, 626.92236328125], [1119.685546875, 614.0238647460938]]","[[933.2014770507812, 649.3989868164062], [918.8466186523438, 637.875], [923.153076171875, 640.7559814453125], [920.2821044921875, 639.3155517578125], [947.5564575195312, 634.9940185546875], [917.4110717773438, 671.0064086914062], [964.7824096679688, 663.803955078125], [907.3626708984375, 711.3402709960938], [976.266357421875, 704.1378173828125], [910.233642578125, 718.542724609375], [973.3953857421875, 708.4592895507812], [930.33056640625, 745.9121704101562], [960.4759521484375, 747.3526611328125], [924.5885009765625, 799.21044921875], [953.2985229492188, 790.5675048828125], [926.0240478515625, 852.5087280273438], [950.4274291992188, 833.7824096679688]]","[[692, 581], [1231, 581], [630, 737], [1302, 737], [517, 1001], [1412, 1001]]","[[563, 537], [563, 737], [1364, 737], [1364, 537]]","[1069, 594]",None,None
67671,"[[1098.46826171875, 475.0465393066406], [1101.294189453125, 470.7483215332031], [1094.229248046875, 470.7483215332031], [1108.3590087890625, 470.7483215332031], [1091.4033203125, 472.18109130859375], [1116.8369140625, 490.80670166015625], [1089.9903564453125, 489.3739929199219], [1123.9017333984375, 518.02880859375], [1080.0994873046875, 499.40313720703125], [1104.1201171875, 516.5960083007812], [1077.2735595703125, 509.432373046875], [1115.4239501953125, 539.5198974609375], [1099.881103515625, 540.95263671875], [1109.77197265625, 582.5021362304688], [1104.1201171875, 586.8003540039062], [1109.77197265625, 626.9171142578125], [1119.662841796875, 614.0224609375]]","[[933.2401123046875, 649.4114379882812], [918.8779296875, 637.8898315429688], [923.1865234375, 640.7702026367188], [920.3141479492188, 639.3300170898438], [947.602294921875, 635.0093994140625], [917.441650390625, 671.0145263671875], [964.8369140625, 663.8135375976562], [907.3880615234375, 711.34033203125], [976.3267822265625, 704.1392822265625], [910.2605590820312, 718.5413818359375], [973.4542846679688, 708.4598999023438], [930.3676147460938, 745.9052734375], [960.5283203125, 747.3455200195312], [924.6227416992188, 799.1929931640625], [953.3472290039062, 790.5516967773438], [926.0589599609375, 852.4805297851562], [950.4747314453125, 833.7579345703125]]","[[692, 581], [1231, 581], [630, 737], [1302, 737], [517, 1001], [1412, 1001]]","[[563, 537], [563, 737], [1364, 737], [1364, 537]]","[1058, 596]",None,None
67672,"[[1098.5623779296875, 474.53900146484375], [1101.385986328125, 471.66009521484375], [1094.3270263671875, 471.66009521484375], [1108.445068359375, 471.66009521484375], [1091.5032958984375, 471.66009521484375], [1116.9158935546875, 491.8125915527344], [1090.091552734375, 488.9336853027344], [1122.5631103515625, 517.7229614257812], [1080.208984375, 499.0099182128906], [1104.2095947265625, 516.2835083007812], [1077.38525390625, 509.086181640625], [1115.504150390625, 539.31494140625], [1098.5623779296875, 540.75439453125], [1109.8568115234375, 583.9383544921875], [1102.7978515625, 585.3778076171875], [1109.8568115234375, 627.122314453125], [1119.739501953125, 614.1671142578125]]","[[933.9379272460938, 650.1865844726562], [919.7186889648438, 635.8124389648438], [922.5625610351562, 640.1246948242188], [921.1406860351562, 640.1246948242188], [946.7352905273438, 635.8124389648438], [916.8748779296875, 670.3103637695312], [965.2203369140625, 663.123291015625], [906.9214477539062, 709.1204833984375], [976.595703125, 703.370849609375], [908.3433227539062, 709.1204833984375], [973.7518310546875, 707.68310546875], [931.0941772460938, 746.4932861328125], [960.9545288085938, 746.4932861328125], [925.4063720703125, 799.6775512695312], [953.8448486328125, 791.0531005859375], [925.4063720703125, 852.86181640625], [951.0010986328125, 837.05029296875]]","[[692, 581], [1231, 581], [630, 737], [1302, 737], [517, 1001], [1412, 1001]]","[[563, 537], [563, 737], [1364, 737], [1364, 537]]","[1048, 598]",None,None
67673,"[[1098.537841796875, 474.6697082519531], [1101.3675537109375, 471.7973327636719], [1094.29345703125, 471.7973327636719], [1108.441650390625, 471.7973327636719], [1091.4637451171875, 471.7973327636719], [1116.9305419921875, 491.90386962890625], [1090.0489501953125, 489.031494140625], [1122.5897216796875, 517.755126953125], [1080.145263671875, 499.08477783203125], [1104.1971435546875, 516.3189697265625], [1077.3155517578125, 509.1380615234375], [1115.5157470703125, 539.2979125976562], [1099.9527587890625, 540.7340698242188], [1109.8564453125, 582.3833618164062], [1104.1971435546875, 586.69189453125], [1109.8564453125, 626.905029296875], [1119.7601318359375, 613.9794311523438]]","[[933.9347534179688, 650.1859130859375], [919.535400390625, 635.820556640625], [923.855224609375, 640.1301879882812], [920.975341796875, 638.693603515625], [948.334228515625, 634.384033203125], [916.6554565429688, 670.2974853515625], [965.6135864257812, 663.11474609375], [908.015869140625, 709.0839233398438], [981.452880859375, 683.2262573242188], [919.535400390625, 719.1397094726562], [969.9332885742188, 709.0839233398438], [931.054931640625, 743.5608520507812], [959.853759765625, 746.4339599609375], [925.295166015625, 798.149169921875], [952.6539916992188, 792.403076171875], [926.735107421875, 852.7376098632812], [949.774169921875, 836.9357299804688]]","[[692, 581], [1231, 581], [630, 737], [1302, 737], [517, 1001], [1412, 1001]]","[[563, 537], [563, 737], [1364, 737], [1364, 537]]","[1037, 600]",None,None
67674,"[[1098.562255859375, 474.6690673828125], [1101.3896484375, 471.7961120605469], [1094.3209228515625, 471.7961120605469], [1108.458251953125, 471.7961120605469], [1091.4935302734375, 471.7961120605469], [1116.9405517578125, 491.9070739746094], [1090.079833984375, 489.0340576171875], [1122.595458984375, 517.7640380859375], [1080.1837158203125, 499.08953857421875], [1104.217041015625, 516.3275146484375], [1077.3563232421875, 509.14501953125], [1115.52685546875, 539.3115234375], [1098.562255859375, 540.7479858398438], [1109.8719482421875, 582.4064331054688], [1104.217041015625, 586.7159423828125], [1109.8719482421875, 626.9378662109375], [1119.76806640625, 614.0093994140625]]","[[934.12353515625, 649.6099853515625], [919.7802124023438, 636.6704711914062], [922.64892578125, 639.5459594726562], [922.64892578125, 639.5459594726562], [948.466796875, 635.2327880859375], [916.91162109375, 669.738037109375], [965.6787719726562, 663.9871826171875], [906.871337890625, 704.2432861328125], [984.3250732421875, 679.8020629882812], [924.0833129882812, 692.7415161132812], [974.2847290039062, 702.8056030273438], [929.820556640625, 743.0616455078125], [959.94140625, 747.3748168945312], [924.0833129882812, 797.6950073242188], [952.769775390625, 791.944091796875], [925.517578125, 850.890625], [949.9011840820312, 836.5133666992188]]","[[692, 581], [1231, 581], [630, 737], [1302, 737], [517, 1001], [1412, 1001]]","[[563, 537], [563, 737], [1364, 737], [1364, 537]]","[1026, 602]",None,None
67675,"[[1097.8634033203125, 474.4057922363281], [1100.743408203125, 471.52935791015625], [1094.9833984375, 471.52935791015625], [1107.9434814453125, 471.52935791015625], [1090.6632080078125, 471.52935791015625], [1116.5836181640625, 491.66448974609375], [1090.6632080078125, 488.78802490234375], [1122.34375, 517.5525512695312], [1080.5831298828125, 498.8556213378906], [1105.0634765625, 516.1143188476562], [1076.2630615234375, 510.3614196777344], [1116.5836181640625, 539.1259155273438], [1099.3033447265625, 540.5641479492188], [1109.383544921875, 582.2726440429688], [1103.6234130859375, 586.5873413085938], [1109.383544921875, 626.8576049804688], [1119.4637451171875, 613.9136352539062]]","[[934.1077880859375, 646.9449462890625], [921.2930297851562, 636.852294921875], [921.2930297851562, 636.852294921875], [922.7169799804688, 638.2941284179688], [948.3464965820312, 636.852294921875], [917.0214233398438, 670.0137329101562], [964.0089111328125, 661.3629150390625], [907.054443359375, 703.1751708984375], [986.7906494140625, 675.7809448242188], [908.478271484375, 698.8497314453125], [971.1282348632812, 703.1751708984375], [929.836181640625, 746.42919921875], [959.7373046875, 746.42919921875], [924.1408081054688, 799.7757568359375], [952.6179809570312, 791.125], [925.5646362304688, 851.6805419921875], [949.7703247070312, 837.2625732421875]]","[[692, 581], [1231, 581], [630, 737], [1302, 737], [517, 1001], [1412, 1001]]","[[563, 537], [563, 737], [1364, 737], [1364, 537]]","[1016, 604]",None,None
67676,"[[1098.4898681640625, 474.4692687988281], [1101.31787109375, 471.59112548828125], [1094.247802734375, 471.59112548828125], [1108.387939453125, 471.59112548828125], [1091.4197998046875, 471.59112548828125], [1116.8719482421875, 491.7379150390625], [1091.4197998046875, 488.8598327636719], [1122.5279541015625, 517.6409301757812], [1080.107666015625, 498.9332275390625], [1104.1458740234375, 516.201904296875], [1077.2796630859375, 509.0066223144531], [1116.8719482421875, 539.2268676757812], [1099.90380859375, 540.6658325195312], [1109.8018798828125, 582.3985595703125], [1102.73193359375, 586.7156982421875], [1109.8018798828125, 627.0093383789062], [1119.699951171875, 614.0578002929688]]","[[920.028076171875, 639.6753540039062], [920.028076171875, 635.35400390625], [948.7352905273438, 629.5921630859375], [922.8988647460938, 639.6753540039062], [948.7352905273438, 635.35400390625], [917.1573486328125, 668.484375], [963.0888671875, 662.7225952148438], [907.1098022460938, 704.4956665039062], [990.3607177734375, 674.2461547851562], [907.1098022460938, 691.5315551757812], [971.7009887695312, 698.7338256835938], [930.0755615234375, 749.1495971679688], [960.2182006835938, 744.8282470703125], [924.3341674804688, 799.5654296875], [951.6060180664062, 790.9226684570312], [925.76953125, 852.862060546875], [948.7352905273438, 838.45751953125]]","[[692, 581], [1231, 581], [630, 737], [1302, 737], [517, 1001], [1412, 1001]]","[[563, 537], [563, 737], [1364, 737], [1364, 537]]","[1005, 606]",None,None
67677,"[[1098.1033935546875, 474.5442810058594], [1100.9674072265625, 471.6629638671875], [1095.2393798828125, 471.6629638671875], [1108.1273193359375, 471.6629638671875], [1090.9434814453125, 471.6629638671875], [1116.7193603515625, 491.8324279785156], [1090.9434814453125, 488.9510498046875], [1122.4473876953125, 517.7645874023438], [1079.4874267578125, 499.0357971191406], [1103.8314208984375, 516.3239135742188], [1076.6234130859375, 509.12054443359375], [1116.7193603515625, 539.374755859375], [1099.535400390625, 540.8154907226562], [1109.559326171875, 582.5950927734375], [1102.3994140625, 585.4764404296875], [1109.559326171875, 627.256103515625], [1119.5833740234375, 614.2899780273438]]","[[920.0181274414062, 640.7943725585938], [920.0181274414062, 635.0549926757812], [948.6719360351562, 629.3156127929688], [922.883544921875, 639.3595581054688], [948.6719360351562, 635.0549926757812], [917.1527709960938, 669.4913330078125], [964.4314575195312, 662.3170776367188], [907.1239624023438, 703.9276733398438], [990.219970703125, 673.7958374023438], [907.1239624023438, 692.4489135742188], [971.594970703125, 699.6231079101562], [930.0469360351562, 748.407958984375], [960.1334228515625, 745.5382690429688], [924.3162841796875, 798.6276245117188], [951.537353515625, 791.453369140625], [925.7489013671875, 853.15185546875], [948.6719360351562, 838.8033447265625]]","[[692, 581], [1231, 581], [630, 737], [1302, 737], [517, 1001], [1412, 1001]]","[[563, 537], [563, 737], [1364, 737], [1364, 537]]","[994, 608]",None,None
