frame,top,bottom,court,net,ball,pos,type
102338,"[[889.5994262695312, 335.7899475097656], [892.4794921875, 332.9127197265625], [886.7193603515625, 332.9127197265625], [896.7996826171875, 332.9127197265625], [880.9591674804688, 332.9127197265625], [903.9999389648438, 345.8601989746094], [873.7588500976562, 342.98297119140625], [916.96044921875, 363.12347412109375], [856.4782104492188, 353.05322265625], [919.8405151367188, 374.63232421875], [844.9578247070312, 366.0007019042969], [898.2396850585938, 391.8955993652344], [879.5191040039062, 391.8955993652344], [896.7996826171875, 427.86077880859375], [879.5191040039062, 427.86077880859375], [899.6798095703125, 471.0189514160156], [883.8391723632812, 450.8784484863281]]","[[971.7677612304688, 539.4270629882812], [960.2483520507812, 533.6639404296875], [961.688232421875, 533.6639404296875], [961.688232421875, 535.104736328125], [983.2871704101562, 533.6639404296875], [957.3684692382812, 568.242431640625], [1000.5662231445312, 552.3939819335938], [950.1688842773438, 585.5316772460938], [1023.6050415039062, 561.0386352539062], [957.3684692382812, 608.583984375], [1013.5255737304688, 582.650146484375], [976.0875244140625, 634.5178833007812], [1004.8860473632812, 630.195556640625], [967.4479370117188, 674.8594360351562], [994.8065185546875, 674.8594360351562], [976.0875244140625, 710.878662109375], [987.60693359375, 720.964111328125]]","[[719, 396], [1197, 396], [656, 597], [1262, 597], [524, 978], [1397, 978]]","[[599, 425], [599, 597], [1320, 597], [1320, 425]]","[991, 597]",None,None
102339,"[[888.8609619140625, 335.5303039550781], [891.70751953125, 331.21649169921875], [886.0143432617188, 331.21649169921875], [897.4007568359375, 331.21649169921875], [880.3211059570312, 331.21649169921875], [904.5172729492188, 345.59588623046875], [873.20458984375, 342.7200012207031], [917.3269653320312, 362.8511657714844], [857.54833984375, 351.34765625], [921.5968627929688, 372.916748046875], [844.7385864257812, 365.72705078125], [898.8240966796875, 393.0478820800781], [878.8978271484375, 393.0478820800781], [895.9774780273438, 428.9964294433594], [880.3211059570312, 428.9964294433594], [898.8240966796875, 470.69671630859375], [883.167724609375, 449.1275939941406]]","[[961.3034057617188, 538.1690673828125], [959.8632202148438, 532.4214477539062], [962.7435913085938, 532.4214477539062], [962.7435913085938, 535.2952880859375], [982.9059448242188, 532.4214477539062], [958.4230346679688, 566.9070434570312], [1000.1881103515625, 553.9749755859375], [949.781982421875, 582.7130126953125], [1021.7906494140625, 561.1594848632812], [954.1025390625, 607.1403198242188], [1011.70947265625, 584.14990234375], [975.7051391601562, 634.44140625], [1004.508544921875, 630.1307373046875], [967.0640869140625, 676.1115112304688], [994.4273681640625, 674.6746215820312], [975.7051391601562, 710.59716796875], [988.6666870117188, 719.2185668945312]]","[[719, 396], [1197, 396], [656, 597], [1262, 597], [524, 978], [1397, 978]]","[[599, 425], [599, 597], [1320, 597], [1320, 425]]","[987, 597]",None,None
102340,"[[888.8340454101562, 333.2493591308594], [891.695068359375, 330.3778381347656], [885.9730224609375, 330.3778381347656], [895.9866943359375, 330.3778381347656], [880.2508544921875, 330.3778381347656], [904.5698852539062, 346.1712341308594], [873.0982055664062, 343.2997131347656], [921.7362670898438, 367.7076721191406], [857.3623046875, 351.9142761230469], [920.3057861328125, 373.4507141113281], [845.9180908203125, 363.400390625], [898.8477783203125, 392.1156311035156], [878.8203735351562, 392.1156311035156], [895.9866943359375, 428.0096740722656], [878.8203735351562, 428.0096740722656], [898.8477783203125, 471.0825500488281], [883.1118774414062, 449.5461120605469]]","[[960.396728515625, 538.0645141601562], [960.396728515625, 532.323486328125], [961.8223266601562, 532.323486328125], [961.8223266601562, 533.7587890625], [983.2073364257812, 532.323486328125], [960.396728515625, 565.3342895507812], [1000.3153686523438, 553.852294921875], [948.9913940429688, 583.9925537109375], [1021.7003784179688, 561.0285034179688], [951.8426513671875, 606.9566040039062], [1011.720703125, 582.557373046875], [976.0790405273438, 634.2264404296875], [1004.5923461914062, 629.920654296875], [967.5250244140625, 674.4135131835938], [994.6126708984375, 674.4135131835938], [976.0790405273438, 711.7301025390625], [987.484375, 720.3416137695312]]","[[719, 396], [1197, 396], [656, 597], [1262, 597], [524, 978], [1397, 978]]","[[599, 425], [599, 597], [1320, 597], [1320, 425]]","[983, 598]",None,None
102341,"[[888.5965576171875, 333.39837646484375], [891.4407348632812, 329.09429931640625], [885.75244140625, 329.09429931640625], [895.7069702148438, 330.52899169921875], [880.0641479492188, 330.52899169921875], [904.239501953125, 344.87591552734375], [874.3758544921875, 343.44122314453125], [921.3043823242188, 366.39630126953125], [855.8887939453125, 352.04937744140625], [919.88232421875, 373.5697937011719], [845.9342651367188, 363.52691650390625], [898.5510864257812, 392.2207946777344], [878.64208984375, 392.2207946777344], [895.7069702148438, 428.0881042480469], [878.64208984375, 428.0881042480469], [898.5510864257812, 469.6942138671875], [884.3303833007812, 449.6085205078125]]","[[961.6697998046875, 538.01171875], [960.246337890625, 532.2711791992188], [961.6697998046875, 532.2711791992188], [961.6697998046875, 533.706298828125], [983.0209350585938, 532.2711791992188], [958.8229370117188, 565.2793579101562], [1000.1018676757812, 553.7982177734375], [947.4356689453125, 583.9361572265625], [1020.0296020507812, 562.4091186523438], [950.282470703125, 608.3335571289062], [1010.0657958984375, 585.371337890625], [975.9039306640625, 634.1660766601562], [1004.3721313476562, 629.860595703125], [967.3634643554688, 674.3499755859375], [994.4082641601562, 674.3499755859375], [974.4805297851562, 710.2284545898438], [988.714599609375, 720.2744140625]]","[[719, 396], [1197, 396], [656, 597], [1262, 597], [524, 978], [1397, 978]]","[[599, 425], [599, 597], [1320, 597], [1320, 425]]","[979, 598]",None,None
102342,"[[889.138671875, 331.96441650390625], [891.9883422851562, 327.65869140625], [884.864013671875, 327.65869140625], [896.2630004882812, 329.0939025878906], [880.5894165039062, 329.0939025878906], [904.812255859375, 344.88153076171875], [873.465087890625, 343.4462890625], [920.48583984375, 366.41009521484375], [856.3665771484375, 352.0577087402344], [919.0609130859375, 373.58624267578125], [846.3924560546875, 363.53961181640625], [897.6878662109375, 392.2443542480469], [879.16455078125, 392.2443542480469], [896.2630004882812, 428.1252746582031], [879.16455078125, 428.1252746582031], [899.11279296875, 469.7471618652344], [883.439208984375, 449.6538391113281]]","[[961.2182006835938, 537.5553588867188], [959.7802124023438, 533.2402954101562], [961.2182006835938, 533.2402954101562], [961.2182006835938, 534.6786499023438], [982.7888793945312, 533.2402954101562], [956.9041137695312, 567.7606811523438], [1000.04541015625, 553.3771362304688], [946.8378295898438, 582.1441650390625], [1018.7399291992188, 562.0072631835938], [948.27587890625, 608.0343627929688], [1008.6737060546875, 585.0208129882812], [975.5986938476562, 633.9246215820312], [1004.3595581054688, 629.609619140625], [965.5323486328125, 677.0750732421875], [994.293212890625, 674.1983642578125], [975.5986938476562, 711.5953979492188], [988.5410766601562, 720.2255249023438]]","[[719, 396], [1197, 396], [656, 597], [1262, 597], [524, 978], [1397, 978]]","[[599, 425], [599, 597], [1320, 597], [1320, 425]]","[975, 598]",None,None
102343,"[[888.8396606445312, 333.01263427734375], [891.6814575195312, 328.6972961425781], [884.5770263671875, 328.6972961425781], [895.9440307617188, 330.1357421875], [880.3143920898438, 330.1357421875], [904.4693603515625, 344.5201416015625], [873.2100219726562, 343.08172607421875], [921.5199584960938, 366.0967712402344], [856.1594848632812, 351.7123718261719], [918.6781616210938, 373.28900146484375], [846.2133178710938, 363.21990966796875], [897.364990234375, 391.98876953125], [878.8934936523438, 391.98876953125], [895.9440307617188, 427.9498291015625], [878.8934936523438, 427.9498291015625], [898.7858276367188, 469.6646423339844], [883.1561889648438, 449.52642822265625]]","[[961.2708740234375, 537.9263916015625], [959.8369140625, 532.1878051757812], [961.2708740234375, 532.1878051757812], [961.2708740234375, 533.6224975585938], [982.780517578125, 533.6224975585938], [956.9689331054688, 566.6193237304688], [999.98828125, 553.70751953125], [946.93115234375, 582.400390625], [1020.0639038085938, 562.3153686523438], [948.3651123046875, 608.2240600585938], [1008.5921020507812, 585.2697143554688], [975.6106567382812, 634.047607421875], [1004.2901611328125, 629.7437133789062], [965.5728759765625, 677.0869750976562], [994.2523193359375, 674.2177124023438], [975.6106567382812, 711.5184326171875], [988.5164794921875, 720.1263427734375]]","[[719, 396], [1197, 396], [656, 597], [1262, 597], [524, 978], [1397, 978]]","[[599, 425], [599, 597], [1320, 597], [1320, 425]]","[971, 599]",None,None
102344,"[[887.9408569335938, 332.3771057128906], [892.2427368164062, 328.08203125], [885.0729370117188, 328.08203125], [896.5447387695312, 329.5137023925781], [880.7709350585938, 329.5137023925781], [905.1485595703125, 345.2623291015625], [873.60107421875, 342.39892578125], [920.9223022460938, 366.7377014160156], [856.3934326171875, 350.98907470703125], [916.6204223632812, 373.8961181640625], [846.3555297851562, 363.8742980957031], [897.9786987304688, 392.5081481933594], [879.3370361328125, 392.5081481933594], [896.5447387695312, 428.3004455566406], [879.3370361328125, 428.3004455566406], [899.4126586914062, 469.8194885253906], [883.638916015625, 449.77581787109375]]","[[960.7318725585938, 537.2896118164062], [959.3008422851562, 532.9663696289062], [960.7318725585938, 531.5253295898438], [960.7318725585938, 534.4074096679688], [983.6290283203125, 532.9663696289062], [956.4386596679688, 567.5523681640625], [999.370849609375, 554.5825805664062], [946.4210815429688, 584.8452758789062], [1019.4059448242188, 563.2290649414062], [947.8522338867188, 609.3436889648438], [1007.9573364257812, 584.8452758789062], [975.0426025390625, 633.842041015625], [1003.6641235351562, 629.518798828125], [965.0250854492188, 674.1923217773438], [993.6466064453125, 674.1923217773438], [975.0426025390625, 711.660400390625], [987.9222412109375, 720.3069458007812]]","[[719, 396], [1197, 396], [656, 597], [1262, 597], [524, 978], [1397, 978]]","[[599, 425], [599, 597], [1320, 597], [1320, 425]]","[966, 599]",None,None
102345,"[[888.1521606445312, 331.451171875], [890.9967651367188, 327.15325927734375], [885.3074951171875, 327.15325927734375], [896.68603515625, 328.58587646484375], [879.6183471679688, 328.58587646484375], [903.7975463867188, 344.34490966796875], [873.9290771484375, 341.4796142578125], [920.865234375, 365.8345031738281], [855.4390869140625, 352.94073486328125], [919.4429321289062, 371.5650634765625], [845.48291015625, 362.9692077636719], [898.1082763671875, 391.6219787597656], [878.1959838867188, 391.6219787597656], [896.68603515625, 428.8705749511719], [879.6183471679688, 428.8705749511719], [898.1082763671875, 470.4171142578125], [883.88525390625, 450.36016845703125]]","[[961.64501953125, 537.823486328125], [960.2235717773438, 533.5077514648438], [961.64501953125, 533.5077514648438], [961.64501953125, 533.5077514648438], [982.9666137695312, 533.5077514648438], [954.5377807617188, 568.0338134765625], [998.6024780273438, 553.64794921875], [946.0091552734375, 582.4197387695312], [1018.502685546875, 562.2794799804688], [946.0091552734375, 608.3143310546875], [1007.131103515625, 583.8583374023438], [974.43798828125, 634.2089233398438], [1002.8667602539062, 629.8931274414062], [965.9093017578125, 674.4893798828125], [994.338134765625, 674.4893798828125], [974.43798828125, 710.4541015625], [988.65234375, 719.0856323242188]]","[[719, 396], [1197, 396], [656, 597], [1262, 597], [524, 978], [1397, 978]]","[[599, 425], [599, 597], [1320, 597], [1320, 425]]","[962, 599]",None,None
102346,"[[888.9390258789062, 331.08856201171875], [891.784912109375, 328.22119140625], [884.6702270507812, 328.22119140625], [896.0536499023438, 328.22119140625], [880.4013671875, 328.22119140625], [904.59130859375, 345.4254455566406], [873.2866821289062, 341.1243896484375], [920.2437133789062, 365.4970397949219], [854.7884521484375, 352.5939025878906], [917.3978271484375, 371.2318115234375], [844.827880859375, 364.0633850097656], [897.4766235351562, 392.7370910644531], [877.5554809570312, 391.30340576171875], [896.0536499023438, 428.5792541503906], [878.9783935546875, 428.5792541503906], [898.8995971679688, 470.1561584472656], [883.2472534179688, 450.08453369140625]]","[[959.1602172851562, 534.4615478515625], [959.1602172851562, 533.02734375], [960.6005249023438, 531.5931396484375], [960.6005249023438, 534.4615478515625], [982.2047729492188, 534.4615478515625], [954.8394165039062, 567.447998046875], [998.0478515625, 554.5402221679688], [946.1976928710938, 581.7899169921875], [1018.2118530273438, 560.2770385742188], [943.317138671875, 607.6054077148438], [1005.2493286132812, 583.22412109375], [975.00341796875, 634.8550415039062], [1002.3687744140625, 630.552490234375], [964.9214477539062, 675.0125122070312], [993.72705078125, 673.5783081054688], [975.00341796875, 709.43310546875], [987.9659423828125, 719.4724731445312]]","[[719, 396], [1197, 396], [656, 597], [1262, 597], [524, 978], [1397, 978]]","[[599, 425], [599, 597], [1320, 597], [1320, 425]]","[958, 600]",None,None
102347,"[[888.4429321289062, 331.9344482421875], [891.3046264648438, 327.6332092285156], [884.150390625, 327.6332092285156], [895.59716796875, 327.6332092285156], [879.8577880859375, 327.6332092285156], [904.1822509765625, 343.40447998046875], [874.1343994140625, 340.5369873046875], [917.0599365234375, 362.0432434082031], [856.9642333984375, 350.5732421875], [917.0599365234375, 372.07952880859375], [845.5174560546875, 363.47698974609375], [897.0280151367188, 390.7182922363281], [878.4269409179688, 390.7182922363281], [897.0280151367188, 429.4295654296875], [878.4269409179688, 427.9958190917969], [898.4588623046875, 469.5746154785156], [884.150390625, 449.5021057128906]]","[[970.333740234375, 539.8829956054688], [958.86962890625, 532.6754150390625], [960.3025512695312, 531.23388671875], [960.3025512695312, 535.5584716796875], [983.2308959960938, 532.6754150390625], [954.5704956054688, 567.2717895507812], [997.5610961914062, 554.298095703125], [944.5394287109375, 580.245361328125], [1017.623291015625, 561.5057373046875], [941.6734008789062, 607.6340942382812], [1003.2931518554688, 580.245361328125], [974.6327514648438, 635.0228881835938], [1001.860107421875, 632.1398315429688], [964.6016845703125, 676.8267822265625], [993.261962890625, 673.9437255859375], [974.6327514648438, 709.9815673828125], [987.5299072265625, 718.630615234375]]","[[719, 396], [1197, 396], [656, 597], [1262, 597], [524, 978], [1397, 978]]","[[599, 425], [599, 597], [1320, 597], [1320, 425]]","[954, 600]",None,None
