frame,top,bottom,court,net,ball,pos,type
54098,"[[1045.0062255859375, 429.9323425292969], [1049.2589111328125, 427.04888916015625], [1042.1710205078125, 427.04888916015625], [1053.5115966796875, 428.4906005859375], [1036.500732421875, 427.04888916015625], [1057.7642822265625, 445.7911682128906], [1026.57763671875, 444.3494567871094], [1062.01708984375, 464.5334777832031], [1005.3140258789062, 454.44146728515625], [1067.6873779296875, 483.2757263183594], [1006.7316284179688, 468.85858154296875], [1043.588623046875, 489.0426025390625], [1023.7424926757812, 490.4842834472656], [1053.5115966796875, 517.8768310546875], [1018.072265625, 525.08544921875], [1052.0941162109375, 542.385986328125], [1009.5667724609375, 566.8951416015625]]","[[1197.8447265625, 639.8145141601562], [1166.2413330078125, 648.4554443359375], [1192.0986328125, 639.8145141601562], [1167.6778564453125, 651.3358154296875], [1192.0986328125, 648.4554443359375], [1174.8603515625, 683.0194702148438], [1202.154296875, 672.9382934570312], [1154.7491455078125, 726.2245483398438], [1154.7491455078125, 726.2245483398438], [1164.8048095703125, 688.7802124023438], [1176.2969970703125, 708.9425048828125], [1170.5509033203125, 746.3868408203125], [1194.9716796875, 752.1475219726562], [1160.4952392578125, 802.553466796875], [1206.4638671875, 827.0361938476562], [1100.161376953125, 828.4763793945312], [1177.7335205078125, 897.6044311523438]]","[[675, 535], [1232, 535], [607, 705], [1310, 705], [482, 1000], [1438, 1000]]","[[547, 495], [547, 705], [1376, 705], [1376, 495]]","[742, 379]",None,None
54099,"[[1044.988037109375, 429.8720703125], [1049.236572265625, 426.9908447265625], [1042.15576171875, 426.9908447265625], [1053.4849853515625, 428.43145751953125], [1036.4912109375, 426.9908447265625], [1057.7333984375, 445.7188720703125], [1026.578369140625, 444.27825927734375], [1061.9818115234375, 464.4468994140625], [1005.3362426757812, 454.36260986328125], [1067.6463623046875, 483.1749572753906], [1006.75244140625, 468.7687683105469], [1043.572021484375, 488.9374084472656], [1023.7460327148438, 490.3780212402344], [1053.4849853515625, 519.1904296875], [1018.0814819335938, 524.952880859375], [1052.06884765625, 542.2402954101562], [1009.5846557617188, 566.7307739257812]]","[[1197.890380859375, 639.8121337890625], [1166.3399658203125, 648.4515380859375], [1192.1539306640625, 639.8121337890625], [1167.774169921875, 651.331298828125], [1192.1539306640625, 648.4515380859375], [1174.9447021484375, 683.0089721679688], [1202.1927490234375, 672.9296875], [1154.8671875, 726.2057495117188], [1154.8671875, 726.2057495117188], [1164.9058837890625, 688.7685546875], [1176.3787841796875, 707.4871826171875], [1170.642333984375, 747.8042602539062], [1196.456298828125, 753.563720703125], [1160.603515625, 802.5202026367188], [1206.4951171875, 828.4382934570312], [1100.3709716796875, 828.4382934570312], [1176.3787841796875, 900.4329223632812]]","[[675, 535], [1232, 535], [607, 705], [1310, 705], [482, 1000], [1438, 1000]]","[[547, 495], [547, 705], [1376, 705], [1376, 495]]","[739, 379]",None,None
54100,"[[1042.345703125, 429.79791259765625], [1046.6019287109375, 424.0503845214844], [1039.5081787109375, 425.48724365234375], [1050.858154296875, 426.92413330078125], [1033.833251953125, 426.92413330078125], [1056.5330810546875, 444.16680908203125], [1023.9019775390625, 442.7298889160156], [1059.37060546875, 462.8463439941406], [1004.0396118164062, 454.2250061035156], [1063.6268310546875, 481.5259094238281], [1002.6209106445312, 459.97259521484375], [1042.345703125, 488.7103576660156], [1021.0645141601562, 487.2734375], [1055.1143798828125, 521.7587280273438], [1016.8082885742188, 520.3218383789062], [1043.764404296875, 544.7489624023438], [1008.2958374023438, 566.3023071289062]]","[[1176.0284423828125, 654.3772583007812], [1174.5953369140625, 647.1865844726562], [1196.0928955078125, 631.3670654296875], [1176.0284423828125, 647.1865844726562], [1197.5260009765625, 638.5577392578125], [1181.76123046875, 670.19677734375], [1214.7239990234375, 663.006103515625], [1178.8948974609375, 710.4646606445312], [1178.8948974609375, 710.4646606445312], [1190.3602294921875, 687.4544677734375], [1193.2265625, 681.701904296875], [1184.6275634765625, 742.1036987304688], [1216.1572265625, 746.4180908203125], [1160.2637939453125, 802.5054321289062], [1204.69189453125, 825.515625], [1123.0013427734375, 861.4691772460938], [1183.1943359375, 891.6699829101562]]","[[675, 535], [1232, 535], [607, 705], [1310, 705], [482, 1000], [1438, 1000]]","[[547, 495], [547, 705], [1376, 705], [1376, 495]]","[735, 375]",None,None
54101,"[[1041.5308837890625, 427.6969909667969], [1045.7769775390625, 423.40234375], [1038.7001953125, 423.40234375], [1050.0230712890625, 426.2654113769531], [1033.0386962890625, 426.2654113769531], [1055.6844482421875, 442.012451171875], [1023.1312866210938, 440.5809020996094], [1058.51513671875, 462.05413818359375], [1001.9010009765625, 452.0332946777344], [1061.3458251953125, 480.6642761230469], [1004.731689453125, 473.50653076171875], [1040.115478515625, 486.3904724121094], [1020.300537109375, 484.95892333984375], [1054.2691650390625, 522.17919921875], [1014.63916015625, 519.3161010742188], [1038.7001953125, 547.9470825195312], [1007.5623779296875, 563.694091796875]]","[[1180.88720703125, 652.2169799804688], [1185.1864013671875, 647.8958129882812], [1180.88720703125, 647.8958129882812], [1178.0211181640625, 637.8131103515625], [1199.516845703125, 632.051513671875], [1218.1463623046875, 665.1804809570312], [1178.0211181640625, 659.4189453125], [1170.85595703125, 696.8690795898438], [1170.85595703125, 695.4287109375], [1202.3828125, 714.1537475585938], [1192.3515625, 709.8325805664062], [1226.74462890625, 745.8423461914062], [1195.2176513671875, 737.2000122070312], [1205.2490234375, 817.86181640625], [1176.5880126953125, 802.017578125], [1188.052490234375, 884.1197509765625], [1155.0924072265625, 866.8350830078125]]","[[675, 535], [1232, 535], [607, 705], [1310, 705], [482, 1000], [1438, 1000]]","[[547, 495], [547, 705], [1376, 705], [1376, 495]]","[731, 375]",None,None
54102,"[[1040.3212890625, 428.95751953125], [1043.1708984375, 424.64208984375], [1036.0467529296875, 424.64208984375], [1047.4454345703125, 426.0805969238281], [1030.347412109375, 426.0805969238281], [1051.7198486328125, 441.9038391113281], [1023.2232055664062, 439.02685546875], [1054.569580078125, 462.04254150390625], [1001.8505859375, 451.97320556640625], [1057.4193115234375, 480.7427673339844], [1001.8505859375, 474.9888610839844], [1038.896484375, 485.0581970214844], [1016.0990600585938, 485.0581970214844], [1054.569580078125, 518.1431884765625], [1011.824462890625, 516.7047119140625], [1038.896484375, 551.2282104492188], [1003.2755126953125, 562.736083984375]]","[[1203.4085693359375, 618.067626953125], [1201.97314453125, 613.7613525390625], [1197.666748046875, 618.067626953125], [1181.876953125, 635.2926635742188], [1200.53759765625, 626.6801147460938], [1183.3123779296875, 658.2593994140625], [1219.1983642578125, 658.2593994140625], [1181.876953125, 704.19287109375], [1268.003173828125, 653.953125], [1204.843994140625, 714.2408447265625], [1201.97314453125, 712.805419921875], [1203.4085693359375, 738.6429443359375], [1233.552734375, 738.6429443359375], [1194.7958984375, 806.1077270507812], [1213.45654296875, 816.1557006835938], [1180.4415283203125, 866.3955078125], [1193.3604736328125, 882.1851196289062]]","[[675, 535], [1232, 535], [607, 705], [1310, 705], [482, 1000], [1438, 1000]]","[[547, 495], [547, 705], [1376, 705], [1376, 495]]","[727, 375]",None,None
54103,"[[1040.3662109375, 429.8940124511719], [1043.2384033203125, 427.02972412109375], [1036.05810546875, 427.02972412109375], [1047.546630859375, 427.02972412109375], [1030.3138427734375, 427.02972412109375], [1050.418701171875, 442.783447265625], [1018.8253173828125, 441.3512878417969], [1053.290771484375, 464.2658386230469], [1000.1564331054688, 451.37640380859375], [1056.1629638671875, 482.8838806152344], [994.4122314453125, 458.53717041015625], [1036.05810546875, 485.7481994628906], [1014.5171508789062, 485.7481994628906], [1053.290771484375, 511.52703857421875], [1007.3367919921875, 515.823486328125], [1044.6744384765625, 557.3561401367188], [995.8482666015625, 560.220458984375]]","[[1212.3497314453125, 618.861572265625], [1209.49951171875, 617.4243774414062], [1205.22412109375, 618.861572265625], [1186.697265625, 634.6712036132812], [1203.7989501953125, 634.6712036132812], [1193.8228759765625, 663.4158325195312], [1232.3017578125, 649.0435180664062], [1196.6732177734375, 709.4072265625], [1277.9063720703125, 628.9222412109375], [1215.2000732421875, 720.9050903320312], [1299.2835693359375, 605.926513671875], [1210.924560546875, 742.4635620117188], [1238.00244140625, 742.4635620117188], [1210.924560546875, 812.8878784179688], [1228.0263671875, 820.0740966796875], [1199.5234375, 879.0006103515625], [1205.22412109375, 883.3123168945312]]","[[675, 535], [1232, 535], [607, 705], [1310, 705], [482, 1000], [1438, 1000]]","[[547, 495], [547, 705], [1376, 705], [1376, 495]]","[722, 379]",None,None
54104,"[[1039.5516357421875, 432.8822937011719], [1042.42431640625, 428.5783386230469], [1035.24267578125, 428.5783386230469], [1045.296875, 430.01300048828125], [1028.0611572265625, 428.5783386230469], [1049.6058349609375, 447.2287292480469], [1018.0068969726562, 442.9247741699219], [1051.0421142578125, 467.31378173828125], [996.4622802734375, 451.53265380859375], [1053.9146728515625, 487.39886474609375], [987.8443603515625, 468.7484436035156], [1033.806396484375, 488.83349609375], [1012.2616577148438, 487.39886474609375], [1053.9146728515625, 507.4839172363281], [1002.2074584960938, 517.5264282226562], [1052.4783935546875, 559.1311645507812], [986.4080810546875, 562.00048828125]]","[[1223.921142578125, 620.4497680664062], [1222.4932861328125, 620.4497680664062], [1219.637451171875, 621.8873901367188], [1199.6466064453125, 637.700927734375], [1216.7816162109375, 633.3881225585938], [1201.074462890625, 666.4528198242188], [1242.484130859375, 649.20166015625], [1208.214111328125, 703.830322265625], [1288.1776123046875, 614.6994018554688], [1315.30810546875, 575.8843383789062], [1313.880126953125, 575.8843383789062], [1219.637451171875, 746.9581909179688], [1249.623779296875, 746.9581909179688], [1222.4932861328125, 813.087646484375], [1248.19580078125, 821.713134765625], [1208.214111328125, 880.654541015625], [1222.4932861328125, 890.7177124023438]]","[[675, 535], [1232, 535], [607, 705], [1310, 705], [482, 1000], [1438, 1000]]","[[547, 495], [547, 705], [1376, 705], [1376, 495]]","[718, 384]",None,None
54105,"[[1039.5660400390625, 432.8926696777344], [1042.4388427734375, 428.5865783691406], [1035.256591796875, 428.5865783691406], [1045.311767578125, 430.0219421386719], [1028.07421875, 428.5865783691406], [1049.6212158203125, 447.2462463378906], [1018.01904296875, 442.9401550292969], [1051.0576171875, 467.3412170410156], [996.4722290039062, 451.55230712890625], [1053.9305419921875, 487.43621826171875], [987.8533935546875, 467.3412170410156], [1033.820068359375, 488.87158203125], [1012.2732543945312, 487.43621826171875], [1053.9305419921875, 507.5312194824219], [1002.218017578125, 517.5787353515625], [1052.4940185546875, 559.2040405273438], [986.4169311523438, 562.0747680664062]]","[[1223.919921875, 620.4535522460938], [1222.4920654296875, 620.4535522460938], [1219.63623046875, 621.89111328125], [1199.645263671875, 637.7046508789062], [1216.7803955078125, 633.3919067382812], [1201.0732421875, 666.4566040039062], [1242.48291015625, 649.2054443359375], [1208.2127685546875, 703.8340454101562], [1288.176513671875, 614.7031860351562], [1315.3070068359375, 575.8881225585938], [1313.879150390625, 575.8881225585938], [1219.63623046875, 746.9619140625], [1249.62255859375, 746.9619140625], [1222.4920654296875, 813.0911865234375], [1248.194580078125, 821.7167358398438], [1208.2127685546875, 880.6581420898438], [1222.4920654296875, 890.7213134765625]]","[[675, 535], [1232, 535], [607, 705], [1310, 705], [482, 1000], [1438, 1000]]","[[547, 495], [547, 705], [1376, 705], [1376, 495]]","[716, 386]",None,None
54106,"[[1037.5631103515625, 437.9092102050781], [1040.425537109375, 433.58502197265625], [1033.269775390625, 433.58502197265625], [1043.287841796875, 435.02642822265625], [1026.114013671875, 433.58502197265625], [1050.443603515625, 450.88177490234375], [1016.0958862304688, 446.5575866699219], [1050.443603515625, 475.38543701171875], [990.3350830078125, 449.44036865234375], [1056.168212890625, 494.1235046386719], [978.8859252929688, 468.1784362792969], [1034.700927734375, 491.24072265625], [1010.3712768554688, 489.79931640625], [1056.168212890625, 517.185791015625], [996.0596923828125, 520.0685424804688], [1063.323974609375, 560.4275512695312], [977.4547729492188, 561.8689575195312]]","[[1236.5047607421875, 624.39794921875], [1233.6551513671875, 622.9600219726562], [1232.2303466796875, 624.39794921875], [1213.7078857421875, 638.7776489257812], [1226.531005859375, 638.7776489257812], [1210.858154296875, 666.0991821289062], [1243.628662109375, 657.4713745117188], [1243.628662109375, 656.0333251953125], [1282.0985107421875, 628.7118530273438], [1289.2225341796875, 604.2662963867188], [1292.0721435546875, 597.0764770507812], [1233.6551513671875, 745.1876831054688], [1259.3016357421875, 746.6256103515625], [1236.5047607421875, 812.7723999023438], [1267.850341796875, 825.7141723632812], [1215.1326904296875, 878.919189453125], [1243.628662109375, 900.4888305664062]]","[[675, 535], [1232, 535], [607, 705], [1310, 705], [482, 1000], [1438, 1000]]","[[547, 495], [547, 705], [1376, 705], [1376, 495]]","[714, 392]",None,None
54107,"[[1033.24609375, 445.0055236816406], [1036.1094970703125, 440.71234130859375], [1030.3828125, 440.71234130859375], [1041.836181640625, 442.1434020996094], [1023.2244262695312, 440.71234130859375], [1046.1312255859375, 457.8850402832031], [1014.634521484375, 450.7297668457031], [1048.9945068359375, 475.0577392578125], [988.8644409179688, 452.16082763671875], [1054.72119140625, 497.9546203613281], [971.6843872070312, 469.3334655761719], [1033.24609375, 497.9546203613281], [1007.4761352539062, 496.5235595703125], [1053.28955078125, 525.1447143554688], [988.8644409179688, 528.0067749023438], [1073.3330078125, 565.2142944335938], [967.389404296875, 566.6453247070312]]","[[1249.12109375, 645.1176147460938], [1241.969482421875, 632.1669921875], [1243.3997802734375, 643.6785888671875], [1219.0841064453125, 655.1903076171875], [1243.3997802734375, 655.1903076171875], [1223.3751220703125, 675.3356323242188], [1249.12109375, 672.4577026367188], [1264.8548583984375, 656.6292114257812], [1269.1458740234375, 656.6292114257812], [1267.715576171875, 650.8734130859375], [1251.9818115234375, 649.4344482421875], [1247.6907958984375, 757.3560180664062], [1272.006591796875, 761.6728515625], [1249.12109375, 822.1090087890625], [1284.879638671875, 835.0595703125], [1216.2235107421875, 886.8619384765625], [1273.4368896484375, 915.6410522460938]]","[[675, 535], [1232, 535], [607, 705], [1310, 705], [482, 1000], [1438, 1000]]","[[547, 495], [547, 705], [1376, 705], [1376, 495]]","[709, 401]",None,None
