frame,top,bottom,court,net,ball,pos,type
12457,"[[890.1143798828125, 482.2799377441406], [894.3902587890625, 479.4101257324219], [887.2637329101562, 479.4101257324219], [900.0914916992188, 480.8450012207031], [881.5625, 479.4101257324219], [908.6433715820312, 498.0638122558594], [873.0106201171875, 492.3241882324219], [921.4711303710938, 509.5429992675781], [853.0563354492188, 509.5429992675781], [931.4482421875, 521.0221557617188], [851.631103515625, 526.76171875], [901.516845703125, 541.1107177734375], [880.13720703125, 539.6758422851562], [897.240966796875, 579.8529663085938], [875.8612670898438, 579.8529663085938], [898.6661987304688, 624.3348388671875], [875.8612670898438, 609.98583984375]]","[[987.46923828125, 589.512939453125], [958.8672485351562, 592.3859252929688], [986.0390625, 583.7670288085938], [960.2973022460938, 595.2588500976562], [986.0390625, 589.512939453125], [956.007080078125, 631.1708984375], [1006.0604858398438, 608.187255859375], [944.5662231445312, 664.2100219726562], [1036.092529296875, 602.4412841796875], [964.587646484375, 658.464111328125], [1033.232421875, 602.4412841796875], [988.8992919921875, 707.304443359375], [1018.931396484375, 700.1220703125], [993.1896362304688, 766.2001953125], [1008.9207153320312, 759.0178833007812], [1013.2109985351562, 835.1513671875], [998.9100341796875, 820.7864990234375]]","[[689, 581], [1235, 581], [629, 736], [1300, 736], [515, 1000], [1411, 1000]]","[[562, 538], [562, 736], [1368, 736], [1368, 538]]","[1033, 601]",None,None
12458,"[[890.0698852539062, 482.0947570800781], [894.3456420898438, 479.2185974121094], [887.2194213867188, 479.2185974121094], [900.0465698242188, 482.0947570800781], [881.5184936523438, 479.2185974121094], [908.5980224609375, 497.9134521484375], [872.967041015625, 492.16119384765625], [921.425048828125, 509.41796875], [854.4390258789062, 509.41796875], [931.4017333984375, 520.9224853515625], [851.5885620117188, 526.6747436523438], [901.4718017578125, 541.0553588867188], [880.09326171875, 541.0553588867188], [897.1961059570312, 579.8831176757812], [875.8175048828125, 579.8831176757812], [898.621337890625, 624.463134765625], [875.8175048828125, 610.08251953125]]","[[988.3701782226562, 589.3040771484375], [958.26953125, 593.61962890625], [985.50341796875, 583.550048828125], [961.1361694335938, 596.4966430664062], [985.50341796875, 589.3040771484375], [956.8361206054688, 631.0208129882812], [1007.0039672851562, 608.0046997070312], [943.935791015625, 666.9834594726562], [1035.6712646484375, 603.6891479492188], [965.4363403320312, 658.3524780273438], [991.2369384765625, 603.6891479492188], [988.3701782226562, 707.26171875], [1019.9042358398438, 700.0691528320312], [992.6702270507812, 766.240478515625], [1008.437255859375, 759.0479736328125], [1014.1707763671875, 835.288818359375], [998.4037475585938, 820.9037475585938]]","[[689, 581], [1235, 581], [629, 736], [1300, 736], [515, 1000], [1411, 1000]]","[[562, 538], [562, 736], [1368, 736], [1368, 538]]","[1034, 601]",None,None
12459,"[[890.0637817382812, 482.1373596191406], [894.337646484375, 479.26251220703125], [887.2144775390625, 479.26251220703125], [900.0361328125, 482.1373596191406], [881.5159912109375, 479.26251220703125], [908.5838623046875, 497.9491271972656], [872.9682006835938, 492.19940185546875], [921.4055786132812, 509.44854736328125], [853.0234375, 509.44854736328125], [931.3779296875, 520.947998046875], [851.5988159179688, 526.69775390625], [901.4607543945312, 541.0720825195312], [880.0913696289062, 539.6346435546875], [897.1868896484375, 579.8827514648438], [875.8174438476562, 579.8827514648438], [898.6115112304688, 624.443115234375], [875.8174438476562, 610.0687866210938]]","[[989.0044555664062, 589.8599243164062], [959.1341552734375, 594.1843872070312], [986.1596069335938, 584.093994140625], [960.5564575195312, 595.6258544921875], [986.1596069335938, 589.8599243164062], [956.289306640625, 631.6629028320312], [1007.4955444335938, 607.15771484375], [944.91015625, 664.8169555664062], [1034.5211181640625, 601.3917846679688], [964.8236694335938, 660.4924926757812], [996.1163940429688, 602.833251953125], [987.58203125, 706.619873046875], [1018.8748168945312, 702.29541015625], [993.2716674804688, 767.1620483398438], [1007.4955444335938, 758.5131225585938], [1013.1851806640625, 834.91162109375], [998.961181640625, 821.9382934570312]]","[[689, 581], [1235, 581], [629, 736], [1300, 736], [515, 1000], [1411, 1000]]","[[562, 538], [562, 736], [1368, 736], [1368, 538]]","[1034, 601]",None,None
12460,"[[890.6627807617188, 482.1434631347656], [894.9364013671875, 479.2611083984375], [886.3892822265625, 479.2611083984375], [899.2100219726562, 480.7023010253906], [880.6911010742188, 479.2611083984375], [907.7571411132812, 497.9966125488281], [872.1439819335938, 492.2318115234375], [920.577880859375, 508.0849609375], [853.6251220703125, 509.526123046875], [930.5494995117188, 519.614501953125], [850.776123046875, 522.4968872070312], [902.0589599609375, 541.2323608398438], [880.6911010742188, 539.7911376953125], [896.3609619140625, 580.1445922851562], [876.4176025390625, 578.703369140625], [897.7854614257812, 624.8214721679688], [876.4176025390625, 608.9683837890625]]","[[987.2068481445312, 590.1770629882812], [958.740478515625, 593.0595092773438], [984.3602294921875, 584.4121704101562], [961.5870971679688, 595.9419555664062], [985.7835083007812, 590.1770629882812], [957.317138671875, 630.5313110351562], [1007.1333618164062, 608.9129638671875], [944.5072631835938, 665.1206665039062], [1034.1763916015625, 604.5892944335938], [964.4337768554688, 657.91455078125], [1000.0167236328125, 604.5892944335938], [988.630126953125, 708.3572998046875], [1018.5198974609375, 704.0336303710938], [992.900146484375, 766.0062255859375], [1008.556640625, 758.8001098632812], [1012.8265991210938, 835.1848754882812], [998.5934448242188, 820.772705078125]]","[[689, 581], [1235, 581], [629, 736], [1300, 736], [515, 1000], [1411, 1000]]","[[562, 538], [562, 736], [1368, 736], [1368, 538]]","[1035, 602]",None,None
12461,"[[890.4378051757812, 483.0498046875], [894.7138061523438, 478.7384033203125], [887.587158203125, 478.7384033203125], [900.4151000976562, 480.1755065917969], [881.8859252929688, 478.7384033203125], [907.5416870117188, 497.4211730957031], [873.333984375, 491.672607421875], [920.36962890625, 507.48114013671875], [853.3795166015625, 510.3554382324219], [930.3468017578125, 518.9782104492188], [851.9541625976562, 526.1638793945312], [901.8404541015625, 540.5352783203125], [880.4606323242188, 540.5352783203125], [897.564453125, 580.775146484375], [876.1846313476562, 579.3380126953125], [897.564453125, 625.326416015625], [876.1846313476562, 609.5178833007812]]","[[986.7083740234375, 590.3118896484375], [959.4376831054688, 593.1851806640625], [985.2730102539062, 584.565185546875], [960.8729858398438, 596.0585327148438], [986.7083740234375, 590.3118896484375], [958.0023193359375, 629.10205078125], [1006.8025512695312, 610.42529296875], [942.2140502929688, 665.0189208984375], [1034.0732421875, 606.1152954101562], [943.6494140625, 663.582275390625], [999.6260375976562, 604.6785888671875], [988.1436157226562, 708.119140625], [1018.284912109375, 703.8091430664062], [992.4495239257812, 765.586181640625], [1008.23779296875, 758.4027709960938], [1013.97900390625, 835.9832153320312], [998.1907348632812, 820.1798095703125]]","[[689, 581], [1235, 581], [629, 736], [1300, 736], [515, 1000], [1411, 1000]]","[[562, 538], [562, 736], [1368, 736], [1368, 538]]","[1024, 604]",None,None
12462,"[[890.1600952148438, 482.8302001953125], [894.4598999023438, 478.5351867675781], [887.2936401367188, 478.5351867675781], [900.19287109375, 479.96685791015625], [881.5606689453125, 478.5351867675781], [908.7922973632812, 497.1468505859375], [872.9612426757812, 492.8518371582031], [920.2582397460938, 507.16851806640625], [854.3291015625, 510.0318603515625], [930.2908935546875, 520.0535278320312], [852.8958740234375, 512.8952026367188], [901.6260986328125, 541.528564453125], [880.12744140625, 541.528564453125], [897.326416015625, 581.615234375], [875.8276977539062, 578.751953125], [897.326416015625, 625.9969482421875], [875.8276977539062, 610.2485961914062]]","[[987.7164306640625, 590.0916748046875], [958.96484375, 592.9689331054688], [984.8412475585938, 585.7756958007812], [961.8400268554688, 595.8463134765625], [986.2789306640625, 590.0916748046875], [956.0896606445312, 630.3740844726562], [1007.842529296875, 608.794189453125], [941.7139282226562, 663.4631958007812], [1032.281494140625, 607.3555297851562], [941.7139282226562, 662.0245361328125], [999.2171020507812, 604.4782104492188], [987.7164306640625, 709.500244140625], [1017.9056396484375, 703.74560546875], [992.0291748046875, 765.60791015625], [1007.842529296875, 758.4146728515625], [1013.5928955078125, 834.6634521484375], [999.2171020507812, 820.27685546875]]","[[689, 581], [1235, 581], [629, 736], [1300, 736], [515, 1000], [1411, 1000]]","[[562, 538], [562, 736], [1368, 736], [1368, 538]]","[1013, 606]",None,None
12463,"[[891.400390625, 482.8446350097656], [894.2369384765625, 478.5503234863281], [887.1455078125, 478.5503234863281], [899.91015625, 479.9817810058594], [881.4722900390625, 479.9817810058594], [907.0015869140625, 495.7276611328125], [872.9624633789062, 491.4333190917969], [921.1846313476562, 507.1792297363281], [854.524658203125, 508.6106262207031], [931.1126708984375, 520.062255859375], [850.269775390625, 521.49365234375], [901.3284301757812, 540.1024169921875], [881.4722900390625, 540.1024169921875], [897.0735473632812, 580.182861328125], [875.799072265625, 580.182861328125], [897.0735473632812, 625.9890747070312], [875.799072265625, 611.6746215820312]]","[[987.8391723632812, 590.3619384765625], [959.1288452148438, 591.8027954101562], [984.9681396484375, 586.0394287109375], [961.9999389648438, 594.6845092773438], [986.4036865234375, 588.921142578125], [956.2578125, 629.2648315429688], [1007.9363403320312, 610.5338134765625], [940.4672241210938, 662.404296875], [1033.775634765625, 607.652099609375], [940.4672241210938, 659.5225830078125], [996.4522705078125, 603.3295288085938], [986.4036865234375, 707.070556640625], [1017.9849243164062, 704.1888427734375], [992.1456909179688, 766.145263671875], [1007.9363403320312, 758.9410400390625], [1013.678466796875, 836.7467651367188], [997.8877563476562, 820.8974609375]]","[[689, 581], [1235, 581], [629, 736], [1300, 736], [515, 1000], [1411, 1000]]","[[562, 538], [562, 736], [1368, 736], [1368, 538]]","[1002, 608]",None,None
12464,"[[891.25390625, 482.76141357421875], [894.1302490234375, 479.8868408203125], [886.9393310546875, 478.4495849609375], [899.883056640625, 479.8868408203125], [881.1865844726562, 479.8868408203125], [908.5121459960938, 495.69683837890625], [873.9957275390625, 492.8222961425781], [932.9613037109375, 518.6931762695312], [853.861083984375, 508.6322937011719], [931.5231323242188, 521.5677490234375], [852.4228515625, 512.944091796875], [902.7593994140625, 541.6895141601562], [881.1865844726562, 540.252197265625], [897.0066528320312, 580.4957885742188], [876.8720092773438, 580.4957885742188], [897.0066528320312, 625.0512084960938], [876.8720092773438, 612.1157836914062]]","[[988.5780029296875, 588.1497192382812], [958.5736694335938, 592.4653930664062], [987.1492309570312, 585.2725830078125], [961.4312744140625, 593.9039916992188], [987.1492309570312, 588.1497192382812], [955.7161865234375, 629.867919921875], [1008.5808715820312, 609.7280883789062], [938.5708618164062, 664.393310546875], [1032.8699951171875, 608.28955078125], [939.9996337890625, 658.6390380859375], [997.150634765625, 602.5353393554688], [985.7203979492188, 707.550048828125], [1017.1534423828125, 703.234375], [991.4354858398438, 766.5309448242188], [1007.152099609375, 759.338134765625], [1014.2959594726562, 835.5817260742188], [998.5794067382812, 821.1961059570312]]","[[689, 581], [1235, 581], [629, 736], [1300, 736], [515, 1000], [1411, 1000]]","[[562, 538], [562, 736], [1368, 736], [1368, 538]]","[991, 610]",None,None
12465,"[[891.2399291992188, 482.8081970214844], [894.113525390625, 479.9317932128906], [886.9295654296875, 478.49359130859375], [899.8607177734375, 479.9317932128906], [881.182373046875, 479.9317932128906], [908.4815063476562, 495.751953125], [873.9983520507812, 492.87554931640625], [934.3439331054688, 518.7631225585938], [853.8832397460938, 508.6957702636719], [931.4703369140625, 521.6395263671875], [852.4464111328125, 513.0103759765625], [902.7343139648438, 540.3361206054688], [881.182373046875, 540.3361206054688], [896.9871215820312, 580.605712890625], [876.8719482421875, 580.605712890625], [896.9871215820312, 625.1898803710938], [876.8719482421875, 612.24609375]]","[[987.3109741210938, 590.20849609375], [960.143310546875, 591.646240234375], [985.881103515625, 585.8953247070312], [961.5731811523438, 594.5216674804688], [987.3109741210938, 588.770751953125], [955.8536987304688, 629.0269775390625], [1008.7592163085938, 610.3366088867188], [938.695068359375, 663.5323486328125], [1034.4970703125, 607.461181640625], [938.695068359375, 659.2191772460938], [995.8903198242188, 603.1480102539062], [985.881103515625, 708.101806640625], [1017.3385009765625, 703.7886352539062], [991.6007080078125, 768.4862060546875], [1007.329345703125, 759.8598022460938], [1013.048828125, 834.6214599609375], [998.7501220703125, 820.2442016601562]]","[[689, 581], [1235, 581], [629, 736], [1300, 736], [515, 1000], [1411, 1000]]","[[562, 538], [562, 736], [1368, 736], [1368, 538]]","[980, 613]",None,None
12466,"[[891.515625, 482.341796875], [894.3652954101562, 479.47247314453125], [887.2411499023438, 479.47247314453125], [900.0647583007812, 479.47247314453125], [881.541748046875, 479.47247314453125], [908.6138305664062, 495.2537841796875], [872.9926147460938, 492.38446044921875], [932.8362426757812, 518.20849609375], [854.4696044921875, 508.16583251953125], [931.4113159179688, 521.077880859375], [850.1951293945312, 521.077880859375], [902.9144897460938, 541.1632690429688], [881.541748046875, 541.1632690429688], [897.215087890625, 579.8993530273438], [875.84228515625, 581.333984375], [897.215087890625, 625.8087158203125], [875.84228515625, 612.896728515625]]","[[958.8011474609375, 596.5995483398438], [958.8011474609375, 592.28857421875], [985.8232421875, 585.1035766601562], [961.6456298828125, 593.7255859375], [987.2454223632812, 589.41455078125], [955.9567260742188, 629.6505737304688], [1008.5786743164062, 609.5325927734375], [938.89013671875, 659.82763671875], [1034.178466796875, 609.5325927734375], [937.4679565429688, 658.390625], [995.7787475585938, 603.7845458984375], [985.8232421875, 708.6857299804688], [1017.1118774414062, 704.3746948242188], [990.08984375, 767.602783203125], [1007.1563720703125, 758.980712890625], [1012.8452758789062, 833.704833984375], [998.6231689453125, 820.7717895507812]]","[[689, 581], [1235, 581], [629, 736], [1300, 736], [515, 1000], [1411, 1000]]","[[562, 538], [562, 736], [1368, 736], [1368, 538]]","[969, 615]",None,None
