frame,top,bottom,court,net,ball,pos,type
54322,"[[982.27099609375, 359.7613830566406], [986.5604858398438, 355.4365539550781], [979.4112548828125, 355.4365539550781], [992.2799072265625, 356.878173828125], [973.6918334960938, 353.99493408203125], [999.42919921875, 374.177490234375], [962.2529907226562, 365.52783203125], [1008.0082397460938, 398.6849365234375], [932.2261962890625, 375.6191101074219], [1002.2889404296875, 418.86749267578125], [947.9545288085938, 395.80169677734375], [989.4202270507812, 418.86749267578125], [966.5426025390625, 418.86749267578125], [996.5695190429688, 452.02459716796875], [967.972412109375, 460.6742858886719], [996.5695190429688, 482.2984619140625], [972.2620239257812, 508.24749755859375]]","[[872.3892822265625, 567.2708129882812], [873.8108520507812, 562.9676513671875], [873.8108520507812, 562.9676513671875], [873.8108520507812, 570.1395874023438], [895.1336059570312, 570.1395874023438], [861.01708984375, 597.3931274414062], [907.92724609375, 598.8275146484375], [839.6943359375, 628.9497680664062], [915.034912109375, 631.818603515625], [861.01708984375, 630.3841552734375], [895.1336059570312, 631.818603515625], [873.8108520507812, 673.416015625], [900.8197021484375, 671.9815673828125], [872.3892822265625, 725.05419921875], [895.1336059570312, 713.5790405273438], [880.9183959960938, 772.3892822265625], [895.1336059570312, 759.4796142578125]]","[[718, 430], [1196, 430], [663, 637], [1258, 637], [549, 990], [1370, 990]]","[[594, 459], [594, 637], [1324, 637], [1324, 459]]","[996, 435]",None,None
54323,"[[982.9715576171875, 359.8485107421875], [987.2913208007812, 355.5476989746094], [980.091796875, 355.5476989746094], [993.0509033203125, 355.5476989746094], [972.8922729492188, 352.68048095703125], [998.8104858398438, 372.7510070800781], [961.3729858398438, 365.5829772949219], [1007.449951171875, 397.1223449707031], [932.574951171875, 375.61822509765625], [1003.1301879882812, 418.6264953613281], [948.4138793945312, 395.6887512207031], [990.1710815429688, 418.6264953613281], [967.1326293945312, 420.0600891113281], [995.9306640625, 453.0331115722656], [968.572509765625, 463.0683898925781], [995.9306640625, 481.705322265625], [972.8922729492188, 508.94390869140625]]","[[872.30029296875, 567.5875244140625], [873.7300415039062, 563.2835083007812], [873.7300415039062, 563.2835083007812], [873.7300415039062, 570.4568481445312], [895.1754150390625, 570.4568481445312], [860.86279296875, 597.7156982421875], [908.0426635742188, 599.150390625], [839.4174194335938, 627.8438720703125], [915.1912231445312, 632.1478881835938], [856.57373046875, 642.1906127929688], [895.1754150390625, 632.1478881835938], [872.30029296875, 672.31884765625], [899.4645385742188, 672.31884765625], [872.30029296875, 725.4017944335938], [895.1754150390625, 713.9243774414062], [880.8784790039062, 774.1807250976562], [895.1754150390625, 759.8340454101562]]","[[718, 430], [1196, 430], [663, 637], [1258, 637], [549, 990], [1370, 990]]","[[594, 459], [594, 637], [1324, 637], [1324, 459]]","[997, 433]",None,None
54324,"[[983.160400390625, 360.9334411621094], [987.4803466796875, 356.6380920410156], [980.2804565429688, 356.6380920410156], [991.8002319335938, 356.6380920410156], [973.0805053710938, 352.3427429199219], [1000.4402465820312, 373.8194885253906], [961.5606689453125, 366.6605529785156], [1010.52001953125, 399.591552734375], [932.7610473632812, 375.25128173828125], [1004.7601318359375, 419.6365051269531], [950.0408935546875, 396.7279968261719], [991.8002319335938, 419.6365051269531], [967.3206176757812, 419.6365051269531], [996.1203002929688, 451.1357421875], [968.7605590820312, 461.1582336425781], [996.1203002929688, 482.63494873046875], [973.0805053710938, 508.4070129394531]]","[[872.2355346679688, 567.9743041992188], [873.6719360351562, 563.6666870117188], [873.6719360351562, 563.6666870117188], [873.6719360351562, 569.41015625], [895.21728515625, 570.8460083007812], [860.74462890625, 596.6914672851562], [908.1444702148438, 599.5631713867188], [839.1993408203125, 628.2803955078125], [915.3262329101562, 632.5879516601562], [854.999267578125, 642.6389770507812], [895.21728515625, 632.5879516601562], [873.6719360351562, 672.7919921875], [899.5263061523438, 672.7919921875], [872.2355346679688, 724.4829711914062], [895.21728515625, 714.4319458007812], [880.8536987304688, 774.738037109375], [895.21728515625, 760.3794555664062]]","[[718, 430], [1196, 430], [663, 637], [1258, 637], [549, 990], [1370, 990]]","[[594, 459], [594, 637], [1324, 637], [1324, 459]]","[995, 428]",None,None
54325,"[[982.4832153320312, 360.0807189941406], [986.7487182617188, 355.7803649902344], [979.6394653320312, 355.7803649902344], [992.4361572265625, 354.346923828125], [972.5301513671875, 352.9134826660156], [999.5453491210938, 372.981689453125], [961.1553955078125, 365.8144836425781], [1009.498291015625, 394.48333740234375], [932.7184448242188, 374.4151611328125], [1006.6546020507812, 414.55157470703125], [949.7805786132812, 397.3502502441406], [991.0142211914062, 418.8519287109375], [966.8428344726562, 418.8519287109375], [995.2798461914062, 451.82110595703125], [968.2646484375, 461.8552551269531], [995.2798461914062, 481.9234619140625], [972.5301513671875, 507.7254333496094]]","[[872.8594360351562, 568.2042846679688], [872.8594360351562, 565.3240356445312], [872.8594360351562, 565.3240356445312], [872.8594360351562, 569.6443481445312], [894.1787719726562, 571.0844116210938], [860.06787109375, 597.0060424804688], [906.9703369140625, 598.4461669921875], [838.7486572265625, 628.6881103515625], [915.4979858398438, 633.0083618164062], [855.8040161132812, 640.2088012695312], [895.6000366210938, 631.5682983398438], [872.8594360351562, 674.77099609375], [899.8638916015625, 674.77099609375], [872.8594360351562, 725.1741943359375], [895.6000366210938, 713.6534423828125], [881.38720703125, 772.6972045898438], [894.1787719726562, 762.6165771484375]]","[[718, 430], [1196, 430], [663, 637], [1258, 637], [549, 990], [1370, 990]]","[[594, 459], [594, 637], [1324, 637], [1324, 459]]","[993, 423]",None,None
54326,"[[982.291748046875, 358.3926086425781], [986.58203125, 354.07672119140625], [979.4314575195312, 354.07672119140625], [990.872314453125, 355.5153503417969], [973.7109985351562, 351.199462890625], [999.4530639648438, 372.7789001464844], [962.2700805664062, 365.58575439453125], [1010.8939819335938, 397.2357177734375], [932.2377319335938, 374.21759033203125], [1006.6035766601562, 415.93792724609375], [949.3990478515625, 397.2357177734375], [989.4422607421875, 418.815185546875], [965.1303100585938, 418.815185546875], [996.5928344726562, 450.4651184082031], [967.9905395507812, 460.5355224609375], [995.1627197265625, 483.55364990234375], [972.2808227539062, 508.0104064941406]]","[[871.3956298828125, 567.9901123046875], [872.8208618164062, 563.6746215820312], [874.24609375, 563.6746215820312], [872.8208618164062, 569.4286499023438], [894.1994018554688, 570.8671875], [859.9937133789062, 596.760498046875], [907.0265502929688, 599.6375122070312], [838.6151123046875, 628.4078369140625], [915.5780029296875, 635.6004028320312], [857.1431884765625, 641.3544311523438], [898.4751586914062, 621.2152709960938], [872.8208618164062, 673.0018310546875], [899.900390625, 673.0018310546875], [872.8208618164062, 724.7883911132812], [895.6246948242188, 714.71875], [881.3722534179688, 773.6979370117188], [894.1994018554688, 760.7512817382812]]","[[718, 430], [1196, 430], [663, 637], [1258, 637], [549, 990], [1370, 990]]","[[594, 459], [594, 637], [1324, 637], [1324, 459]]","[991, 419]",None,None
54327,"[[982.9070434570312, 358.2228698730469], [985.7445068359375, 353.9057922363281], [978.6508178710938, 353.9057922363281], [991.41943359375, 353.9057922363281], [972.9758911132812, 351.0277099609375], [999.9317626953125, 372.61309814453125], [961.6260375976562, 365.4179992675781], [1011.2816162109375, 397.0765380859375], [931.8327026367188, 375.4911804199219], [1005.606689453125, 417.2229309082031], [948.857421875, 397.0765380859375], [988.5819702148438, 418.6619567871094], [965.8822021484375, 420.1009826660156], [995.6755981445312, 448.8814697265625], [968.7196655273438, 460.3937072753906], [995.6755981445312, 483.4181213378906], [972.9758911132812, 507.8815612792969]]","[[871.5756225585938, 566.7389526367188], [872.99658203125, 563.866455078125], [874.41748046875, 563.866455078125], [872.99658203125, 569.6113891601562], [894.3104858398438, 569.6113891601562], [860.208251953125, 596.8995971679688], [907.0988159179688, 599.7720336914062], [838.894287109375, 628.4965209960938], [914.2034912109375, 635.6776123046875], [855.9454956054688, 641.4225463867188], [898.5732421875, 621.3153686523438], [872.99658203125, 673.0194702148438], [899.9942016601562, 673.0194702148438], [872.99658203125, 724.7235107421875], [895.7313842773438, 714.669921875], [881.5221557617188, 773.5551147460938], [894.3104858398438, 760.6290893554688]]","[[718, 430], [1196, 430], [663, 637], [1258, 637], [549, 990], [1370, 990]]","[[594, 459], [594, 637], [1324, 637], [1324, 459]]","[989, 414]",None,None
54328,"[[981.7442626953125, 358.69677734375], [986.0056762695312, 354.3930969238281], [978.9033203125, 354.3930969238281], [990.2671508789062, 354.3930969238281], [973.2213134765625, 351.52398681640625], [1000.2105712890625, 371.6077880859375], [963.2778930664062, 364.43499755859375], [1012.9949340820312, 398.86444091796875], [932.0272216796875, 375.9114685058594], [1005.8924560546875, 414.6445617675781], [947.652587890625, 397.42987060546875], [988.8466796875, 417.513671875], [966.118896484375, 417.513671875], [995.9490966796875, 451.9430847167969], [968.9598388671875, 460.5504455566406], [994.5286254882812, 483.50335693359375], [973.2213134765625, 507.8908996582031]]","[[870.8173217773438, 568.8142700195312], [872.2509155273438, 565.9348754882812], [895.1881103515625, 565.9348754882812], [873.6845092773438, 570.2540283203125], [893.7545166015625, 571.6936645507812], [860.7822875976562, 597.6083374023438], [906.65673828125, 599.0480346679688], [839.2786865234375, 627.8421020507812], [915.2581787109375, 636.4802856445312], [856.4815673828125, 640.7993774414062], [893.7545166015625, 630.7214965820312], [872.2509155273438, 673.9125366210938], [899.4888916015625, 673.9125366210938], [872.2509155273438, 724.3021240234375], [895.1881103515625, 714.2242431640625], [880.8523559570312, 773.2520751953125], [893.7545166015625, 761.734375]]","[[718, 430], [1196, 430], [663, 637], [1258, 637], [549, 990], [1370, 990]]","[[594, 459], [594, 637], [1324, 637], [1324, 459]]","[987, 410]",None,None
54329,"[[980.4818725585938, 358.3054504394531], [984.7759399414062, 353.9841003417969], [977.6190795898438, 353.9841003417969], [990.50146484375, 353.9841003417969], [973.3250122070312, 351.10321044921875], [999.0897216796875, 371.2695007324219], [961.8740234375, 365.5076904296875], [1013.4033813476562, 395.757080078125], [931.815185546875, 378.4717102050781], [1006.24658203125, 413.04248046875], [944.6975708007812, 398.63800048828125], [990.50146484375, 420.24468994140625], [966.1680908203125, 421.6851501464844], [994.7955322265625, 453.3749694824219], [969.0308837890625, 462.0177307128906], [994.7955322265625, 483.6244201660156], [973.3250122070312, 508.1120300292969]]","[[870.595947265625, 568.6005859375], [872.0265502929688, 565.7192993164062], [894.9171142578125, 567.1599731445312], [873.4572143554688, 570.0411987304688], [893.4864501953125, 571.4818725585938], [860.581298828125, 597.4132080078125], [906.3624267578125, 598.853759765625], [839.1214599609375, 627.6663818359375], [914.9462890625, 636.3101196289062], [854.8587036132812, 642.0726318359375], [893.4864501953125, 631.98828125], [872.0265502929688, 673.7664794921875], [899.2090454101562, 673.7664794921875], [872.0265502929688, 725.629150390625], [894.9171142578125, 714.1041259765625], [880.6105346679688, 773.1698608398438], [894.9171142578125, 761.6448974609375]]","[[718, 430], [1196, 430], [663, 637], [1258, 637], [549, 990], [1370, 990]]","[[594, 459], [594, 637], [1324, 637], [1324, 459]]","[985, 405]",None,None
54330,"[[981.435791015625, 355.98651123046875], [985.7151489257812, 351.69036865234375], [978.5829467773438, 351.69036865234375], [991.4207153320312, 351.69036865234375], [971.4508666992188, 350.25830078125], [998.5529174804688, 370.3069763183594], [962.892333984375, 364.5788269042969], [1011.3906860351562, 390.3557434082031], [932.9374389648438, 380.33135986328125], [1011.3906860351562, 398.9480285644531], [934.3638916015625, 397.5159606933594], [988.56787109375, 421.86083984375], [965.7451782226562, 421.86083984375], [994.2736206054688, 451.933837890625], [968.5980224609375, 460.5261535644531], [994.2736206054688, 482.0069274902344], [972.8772583007812, 509.2158508300781]]","[[871.1856689453125, 568.2607421875], [872.6051025390625, 565.3922119140625], [874.0245971679688, 563.9579467773438], [872.6051025390625, 571.1292724609375], [893.8973388671875, 571.1292724609375], [859.829833984375, 598.38037109375], [905.2531127929688, 599.8146362304688], [838.5376586914062, 628.4999389648438], [913.77001953125, 635.6712646484375], [849.8934936523438, 642.8425903320312], [893.8973388671875, 632.802734375], [872.6051025390625, 675.8306884765625], [899.5752563476562, 672.962158203125], [872.6051025390625, 726.0299682617188], [895.3167724609375, 713.12158203125], [882.54150390625, 771.926513671875], [893.8973388671875, 759.0180053710938]]","[[718, 430], [1196, 430], [663, 637], [1258, 637], [549, 990], [1370, 990]]","[[594, 459], [594, 637], [1324, 637], [1324, 459]]","[984, 401]",None,None
54331,"[[980.439208984375, 355.3699645996094], [984.7525024414062, 351.0618591308594], [977.563720703125, 351.0618591308594], [990.5035400390625, 351.0618591308594], [971.8126220703125, 349.6258544921875], [997.6923217773438, 371.1662902832031], [961.7484130859375, 365.42218017578125], [1009.1943969726562, 385.52655029296875], [932.9932250976562, 381.2184753417969], [1013.5076293945312, 394.1427307128906], [930.11767578125, 398.4508361816406], [989.0657348632812, 422.8633117675781], [966.0616455078125, 422.8633117675781], [994.8168334960938, 453.0199279785156], [968.9371948242188, 461.6360778808594], [993.3789672851562, 483.176513671875], [971.8126220703125, 509.0250244140625]]","[[882.547607421875, 576.777099609375], [871.142578125, 569.5781860351562], [893.9524536132812, 569.5781860351562], [872.5682373046875, 572.4577026367188], [893.9524536132812, 573.8975219726562], [859.7376708984375, 598.3737182617188], [905.3574829101562, 602.693115234375], [838.3533935546875, 630.0488891601562], [913.9111938476562, 640.1273193359375], [848.332763671875, 644.4465942382812], [893.9524536132812, 643.0068359375], [872.5682373046875, 676.1217651367188], [899.655029296875, 677.5615234375], [869.7169799804688, 727.9537963867188], [893.9524536132812, 710.6764526367188], [885.3988647460938, 778.3460083007812], [893.9524536132812, 758.1890869140625]]","[[718, 430], [1196, 430], [663, 637], [1258, 637], [549, 990], [1370, 990]]","[[594, 459], [594, 637], [1324, 637], [1324, 459]]","[977, 371]",None,None
