frame,top,bottom,court,net,ball,pos,type
28930,"[[976.2096557617188, 401.2073059082031], [980.5267944335938, 396.90264892578125], [970.4534912109375, 396.90264892578125], [984.8439331054688, 399.77239990234375], [961.8191528320312, 398.3375244140625], [987.7219848632812, 422.7304382324219], [948.8677978515625, 421.2955627441406], [1006.4296264648438, 448.5582580566406], [931.5991821289062, 451.42803955078125], [1035.2105712890625, 449.9931335449219], [922.9649658203125, 481.5604553222656], [971.8925170898438, 485.8651123046875], [947.4287719726562, 485.8651123046875], [981.9658203125, 528.9114379882812], [953.1849365234375, 533.216064453125], [970.4534912109375, 579.1322021484375], [945.9896850585938, 589.17626953125]]","[[1067.986083984375, 581.0245361328125], [1055.1214599609375, 570.9341430664062], [1062.2685546875, 578.1416015625], [1056.551025390625, 573.8170776367188], [1082.280029296875, 575.2586059570312], [1047.974609375, 604.08837890625], [1093.715087890625, 609.8543090820312], [1017.9573974609375, 608.412841796875], [1098.0032958984375, 654.5404663085938], [1017.9573974609375, 609.8543090820312], [1027.963134765625, 605.5298461914062], [1055.1214599609375, 702.109619140625], [1092.28564453125, 702.109619140625], [1037.9688720703125, 758.3276977539062], [1090.8563232421875, 746.7957763671875], [1057.9803466796875, 830.4021606445312], [1093.715087890625, 797.2479248046875]]","[[637, 511], [1275, 511], [582, 713], [1335, 713], [483, 1011], [1429, 1011]]","[[508, 492], [508, 713], [1412, 713], [1412, 492]]","[1054, 557]",None,None
28931,"[[975.002197265625, 401.7325744628906], [979.3104248046875, 397.4191589355469], [970.6939086914062, 397.4191589355469], [985.0547485351562, 398.8569641113281], [962.0774536132812, 397.4191589355469], [986.4908447265625, 423.29974365234375], [947.7166748046875, 420.4241027832031], [1002.2877197265625, 449.1802978515625], [930.4837036132812, 453.4937438964844], [1028.13720703125, 453.4937438964844], [921.8671875, 485.1255187988281], [972.1300048828125, 489.43896484375], [947.7166748046875, 489.43896484375], [982.1826171875, 528.2598876953125], [952.02490234375, 532.5732421875], [972.1300048828125, 575.7075805664062], [946.280517578125, 587.2100219726562]]","[[1068.8673095703125, 547.0469970703125], [1055.90673828125, 572.9903564453125], [1057.3468017578125, 574.431640625], [1055.90673828125, 574.431640625], [1081.82763671875, 574.431640625], [1048.70654296875, 601.8162841796875], [1091.9080810546875, 609.0227661132812], [991.1044311523438, 613.3467407226562], [1070.3072509765625, 606.1401977539062], [970.9437866210938, 603.2576293945312], [1018.4654541015625, 611.9053955078125], [1060.2269287109375, 702.7072143554688], [1096.228271484375, 696.9420776367188], [1037.1861572265625, 760.3591918945312], [1087.587890625, 740.1809692382812], [1058.786865234375, 829.5415649414062], [1096.228271484375, 802.1569213867188]]","[[637, 511], [1275, 511], [582, 713], [1335, 713], [483, 1011], [1429, 1011]]","[[508, 492], [508, 713], [1412, 713], [1412, 492]]","[1054, 557]",None,None
28932,"[[976.2673950195312, 400.4770812988281], [980.5560913085938, 396.1675720214844], [971.9786987304688, 396.1675720214844], [986.2743530273438, 399.04058837890625], [963.4013061523438, 396.1675720214844], [986.2743530273438, 423.46124267578125], [949.1057739257812, 420.5882263183594], [997.7108764648438, 449.31842041015625], [930.5214233398438, 452.1914367675781], [1024.87255859375, 455.06451416015625], [919.0849609375, 485.2312316894531], [971.9786987304688, 488.104248046875], [947.6761474609375, 486.667724609375], [980.5560913085938, 528.3265380859375], [951.96484375, 534.0726318359375], [973.4083251953125, 577.1679077148438], [944.8170166015625, 587.2235107421875]]","[[1066.7088623046875, 552.5545043945312], [1023.91015625, 611.58837890625], [1061.00244140625, 541.03564453125], [1056.7225341796875, 574.1522827148438], [1082.4017333984375, 575.5921020507812], [1048.162841796875, 601.5093994140625], [1090.96142578125, 608.7086791992188], [992.5244140625, 613.0281982421875], [1066.7088623046875, 602.9492797851562], [971.1250610351562, 600.069580078125], [1023.91015625, 610.1485595703125], [1061.00244140625, 700.859130859375], [1096.66796875, 696.5396118164062], [1033.896484375, 757.0133056640625], [1083.828369140625, 733.9757080078125], [1058.149169921875, 831.8855590820312], [1093.814697265625, 800.2088623046875]]","[[637, 511], [1275, 511], [582, 713], [1335, 713], [483, 1011], [1429, 1011]]","[[508, 492], [508, 713], [1412, 713], [1412, 492]]","[1054, 557]",None,None
28933,"[[976.2398071289062, 400.3909606933594], [980.52880859375, 396.0804748535156], [971.9508056640625, 396.0804748535156], [986.2474975585938, 398.9541015625], [963.3727416992188, 396.0804748535156], [986.2474975585938, 423.3800964355469], [949.076171875, 420.5064697265625], [997.6848754882812, 449.242919921875], [930.4903564453125, 452.1165466308594], [1024.8485107421875, 454.9902038574219], [919.0530395507812, 485.1634521484375], [971.9508056640625, 488.037109375], [947.6464233398438, 488.037109375], [980.52880859375, 528.26806640625], [951.9354248046875, 534.015380859375], [973.3804321289062, 577.1200561523438], [944.7870483398438, 587.1777954101562]]","[[1066.71484375, 552.548095703125], [1023.910888671875, 611.5980224609375], [1061.0076904296875, 541.0261840820312], [1056.727294921875, 574.1517333984375], [1082.4097900390625, 575.5919799804688], [1048.16650390625, 601.5162963867188], [1090.9705810546875, 608.7174682617188], [992.5211181640625, 613.0382690429688], [1066.71484375, 602.95654296875], [971.1190795898438, 600.0760498046875], [1023.910888671875, 610.15771484375], [1061.0076904296875, 700.8929443359375], [1096.6778564453125, 696.5722045898438], [1033.8984375, 757.0623168945312], [1083.8365478515625, 734.0184936523438], [1058.154052734375, 831.9548950195312], [1093.8240966796875, 800.2695922851562]]","[[637, 511], [1275, 511], [582, 713], [1335, 713], [483, 1011], [1429, 1011]]","[[508, 492], [508, 713], [1412, 713], [1412, 492]]","[1054, 557]",None,None
28934,"[[978.2653198242188, 400.8721618652344], [982.5505981445312, 396.5610046386719], [973.9800415039062, 396.5610046386719], [986.8359375, 396.5610046386719], [965.409423828125, 396.5610046386719], [985.4075317382812, 420.990966796875], [949.6966552734375, 420.990966796875], [995.406494140625, 446.85791015625], [929.6984252929688, 451.1690979003906], [1022.5468139648438, 455.4802551269531], [916.842529296875, 484.2213439941406], [969.6947021484375, 487.095458984375], [946.8397216796875, 487.095458984375], [976.8369140625, 528.77001953125], [951.1250610351562, 533.0812377929688], [972.551513671875, 580.5040283203125], [943.9828491210938, 587.6893310546875]]","[[1067.8038330078125, 541.9555053710938], [1021.9447021484375, 612.5131225585938], [1060.638427734375, 576.5143432617188], [1056.339111328125, 573.6344604492188], [1082.1348876953125, 575.0744018554688], [1046.307373046875, 602.4334716796875], [1089.30029296875, 606.7533569335938], [996.14892578125, 612.5131225585938], [1064.9376220703125, 602.4334716796875], [971.7863159179688, 598.1136474609375], [1029.1102294921875, 608.1932983398438], [1064.9376220703125, 697.4702758789062], [1097.89892578125, 696.0303344726562], [1030.5433349609375, 755.0682983398438], [1080.70166015625, 733.4690551757812], [1054.906005859375, 824.1859741210938], [1092.16650390625, 798.2669677734375]]","[[637, 511], [1275, 511], [582, 713], [1335, 713], [483, 1011], [1429, 1011]]","[[508, 492], [508, 713], [1412, 713], [1412, 492]]","[1042, 526]",None,None
28935,"[[979.3807373046875, 401.45477294921875], [983.6625366210938, 397.1500244140625], [975.0989990234375, 395.7151184082031], [987.9443359375, 398.5849609375], [966.5353393554688, 395.7151184082031], [985.0897827148438, 421.54351806640625], [950.8353881835938, 420.10858154296875], [993.6534423828125, 445.9369812011719], [929.42626953125, 450.2417297363281], [1022.1988525390625, 457.416259765625], [916.580810546875, 483.2446594238281], [967.9625854492188, 487.5494079589844], [943.698974609375, 487.5494079589844], [976.5262451171875, 529.1618041992188], [949.4080810546875, 534.9014282226562], [972.244384765625, 575.0789184570312], [942.271728515625, 587.9931030273438]]","[[1066.0284423828125, 542.8780517578125], [1053.1031494140625, 568.7337646484375], [1060.283935546875, 577.3523559570312], [1054.539306640625, 570.170166015625], [1080.3900146484375, 575.9158935546875], [1050.2308349609375, 603.2080078125], [1084.698486328125, 606.0809326171875], [999.9655151367188, 610.3901977539062], [1007.1463012695312, 610.3901977539062], [971.2424926757812, 597.4623413085938], [976.987060546875, 598.8987426757812], [1066.0284423828125, 696.5758666992188], [1099.0599365234375, 692.2666015625], [1027.25244140625, 752.5966186523438], [1077.5177001953125, 731.0501708984375], [1054.539306640625, 824.41796875], [1091.8792724609375, 797.1258544921875]]","[[637, 511], [1275, 511], [582, 713], [1335, 713], [483, 1011], [1429, 1011]]","[[508, 492], [508, 713], [1412, 713], [1412, 492]]","[1030, 496]",None,None
28936,"[[980.2496948242188, 402.0076904296875], [984.5425415039062, 397.69207763671875], [975.9568481445312, 397.69207763671875], [988.8353881835938, 399.130615234375], [965.9401245117188, 397.69207763671875], [984.5425415039062, 422.147216796875], [950.1996459960938, 419.2701416015625], [993.1282958984375, 445.1637878417969], [928.7353515625, 448.0408630371094], [1020.31640625, 459.5491943359375], [915.8568115234375, 481.1272277832031], [964.5092163085938, 485.4428405761719], [940.1829833984375, 485.4428405761719], [974.52587890625, 527.160400390625], [945.9067993164062, 532.91455078125], [974.52587890625, 571.7550048828125], [940.1829833984375, 586.140380859375]]","[[1065.402587890625, 543.461669921875], [1052.4984130859375, 565.0370483398438], [1056.7998046875, 566.4754028320312], [1053.9322509765625, 570.79052734375], [1078.306640625, 573.667236328125], [1048.197021484375, 598.1192626953125], [1082.6080322265625, 603.8726806640625], [1003.74951171875, 609.6261596679688], [1008.0509033203125, 609.6261596679688], [970.7722778320312, 598.1192626953125], [979.3750610351562, 599.5576171875], [1066.83642578125, 690.1741333007812], [1098.3797607421875, 688.7357177734375], [1026.690185546875, 749.146728515625], [1078.306640625, 734.76318359375], [1053.9322509765625, 823.9413452148438], [1092.6446533203125, 799.4891967773438]]","[[637, 511], [1275, 511], [582, 713], [1335, 713], [483, 1011], [1429, 1011]]","[[508, 492], [508, 713], [1412, 713], [1412, 492]]","[1018, 457]",None,None
28937,"[[981.0411376953125, 405.2886962890625], [985.3346557617188, 399.5451354980469], [976.7476196289062, 399.5451354980469], [989.6281127929688, 402.41693115234375], [966.7294921875, 399.5451354980469], [988.1968994140625, 423.9554443359375], [949.5556030273438, 421.0836181640625], [998.215087890625, 446.9298400878906], [929.5193481445312, 449.80169677734375], [1015.3889770507812, 462.7247619628906], [915.2077026367188, 482.8273620605469], [962.43603515625, 484.2633056640625], [938.1063232421875, 485.69921875], [973.8853149414062, 525.9044799804688], [942.3997802734375, 534.5198364257812], [975.3164672851562, 568.9814453125], [936.6751708984375, 589.0841064453125]]","[[1048.86328125, 566.79345703125], [1050.302001953125, 562.4689331054688], [1051.74072265625, 565.3519287109375], [1051.74072265625, 568.2349853515625], [1076.1990966796875, 572.5595092773438], [1054.6181640625, 594.1822509765625], [1079.0765380859375, 599.9483642578125], [1037.353515625, 582.650146484375], [1008.5789794921875, 608.597412109375], [969.7333374023438, 598.5068359375], [1018.6500854492188, 566.79345703125], [1067.5667724609375, 690.7638549804688], [1097.7799072265625, 686.4392700195312], [1025.84375, 749.865966796875], [1076.1990966796875, 732.5678100585938], [1051.74072265625, 821.9417724609375], [1092.025146484375, 798.8775634765625]]","[[637, 511], [1275, 511], [582, 713], [1335, 713], [483, 1011], [1429, 1011]]","[[508, 492], [508, 713], [1412, 713], [1412, 492]]","[1001, 435]",None,None
28938,"[[982.28662109375, 408.44964599609375], [986.5870361328125, 404.1490478515625], [977.986083984375, 402.71551513671875], [990.887451171875, 405.5826110839844], [967.9518432617188, 404.1490478515625], [986.5870361328125, 428.5191650390625], [950.7500610351562, 424.21856689453125], [992.3208618164062, 452.8892517089844], [929.2479858398438, 451.45574951171875], [1016.6900024414062, 468.6581726074219], [917.7801513671875, 482.9935302734375], [962.2179565429688, 484.42706298828125], [937.8488159179688, 485.8605651855469], [973.6856689453125, 524.5661010742188], [940.7157592773438, 533.1672973632812], [975.1192016601562, 567.5721435546875], [933.5484008789062, 589.0751953125]]","[[1045.261474609375, 568.9869995117188], [1048.132080078125, 563.2393798828125], [1049.5673828125, 564.67626953125], [1051.002685546875, 568.9869995117188], [1073.9674072265625, 570.4238891601562], [1048.132080078125, 593.4142456054688], [1076.8380126953125, 597.7249755859375], [1005.0731201171875, 609.2201538085938], [1009.3790893554688, 609.2201538085938], [969.1907348632812, 597.7249755859375], [1015.1202392578125, 560.3655395507812], [1063.9202880859375, 688.2495727539062], [1094.0616455078125, 683.9388427734375], [1026.6026611328125, 748.5993041992188], [1075.4027099609375, 729.919677734375], [1048.132080078125, 823.3180541992188], [1092.6263427734375, 798.8907470703125]]","[[637, 511], [1275, 511], [582, 713], [1335, 713], [483, 1011], [1429, 1011]]","[[508, 492], [508, 713], [1412, 713], [1412, 492]]","[969, 343]",None,None
28939,"[[982.1318359375, 408.4736328125], [986.4359130859375, 404.1707763671875], [977.8276977539062, 402.7364807128906], [990.7400512695312, 405.60504150390625], [967.7848510742188, 404.1707763671875], [986.4359130859375, 428.55364990234375], [950.568359375, 424.2507629394531], [992.1746826171875, 452.9365234375], [929.0479125976562, 452.9365234375], [1016.5646362304688, 468.71368408203125], [917.5703125, 484.4908142089844], [962.0459594726562, 484.4908142089844], [937.6561279296875, 485.9251403808594], [973.5235595703125, 524.65087890625], [941.9601440429688, 533.256591796875], [974.9583129882812, 567.679443359375], [933.3519897460938, 589.1937866210938]]","[[1045.018310546875, 568.0822143554688], [1047.8883056640625, 563.7680053710938], [1049.3233642578125, 563.7680053710938], [1050.75830078125, 568.0822143554688], [1073.7186279296875, 570.9583129882812], [1047.8883056640625, 595.4054565429688], [1076.588623046875, 598.2815551757812], [1004.837890625, 609.7860717773438], [1009.1428833007812, 609.7860717773438], [1012.012939453125, 558.0157470703125], [1014.8829345703125, 560.8919067382812], [1065.1085205078125, 688.879638671875], [1093.808837890625, 683.1273803710938], [1026.3631591796875, 749.2783813476562], [1076.588623046875, 732.0216064453125], [1047.8883056640625, 822.6196899414062], [1092.373779296875, 798.172607421875]]","[[637, 511], [1275, 511], [582, 713], [1335, 713], [483, 1011], [1429, 1011]]","[[508, 492], [508, 713], [1412, 713], [1412, 492]]","[973, 343]",top,lob
