frame,top,bottom,court,net,ball,pos,type
57653,"[[905.6599731445312, 313.4568786621094], [908.5233764648438, 310.5810241699219], [904.2282104492188, 310.5810241699219], [912.8185424804688, 314.8948059082031], [899.93310546875, 313.4568786621094], [909.9551391601562, 329.27410888671875], [897.0697021484375, 332.1499938964844], [902.7965698242188, 349.4051513671875], [897.0697021484375, 356.5948181152344], [897.0697021484375, 369.5361633300781], [898.5014038085938, 381.0396423339844], [908.5233764648438, 378.16375732421875], [918.54541015625, 375.28790283203125], [901.3648071289062, 412.6741027832031], [919.9771728515625, 412.6741027832031], [938.5894165039062, 452.9361877441406], [938.5894165039062, 451.4982604980469]]","[[1033.4228515625, 668.4788208007812], [1040.582763671875, 662.7257690429688], [1026.262939453125, 662.7257690429688], [1023.39892578125, 668.4788208007812], [1049.1746826171875, 669.9171142578125], [1010.5110473632812, 695.8057250976562], [1057.7664794921875, 698.6822509765625], [993.3272094726562, 730.323974609375], [1072.08642578125, 733.200439453125], [977.5753784179688, 764.8422241210938], [1094.9981689453125, 759.089111328125], [1019.1029052734375, 773.4717407226562], [1046.3106689453125, 772.033447265625], [1010.5110473632812, 820.9342651367188], [1027.6949462890625, 812.3047485351562], [1033.4228515625, 865.5203247070312], [1016.239013671875, 855.4525146484375]]","[[714, 426], [1200, 426], [655, 640], [1257, 640], [540, 990], [1371, 990]]","[[588, 457], [588, 640], [1330, 640], [1330, 457]]","[1183, 335]",None,None
57654,"[[905.1221313476562, 300.60369873046875], [906.5545043945312, 297.7199401855469], [902.25732421875, 299.1618347167969], [909.419189453125, 303.4874572753906], [899.392578125, 302.04559326171875], [909.419189453125, 317.90625], [896.5278930664062, 319.34814453125], [910.8515625, 335.2087707519531], [889.3660888671875, 299.1618347167969], [906.5545043945312, 286.1849365234375], [906.5545043945312, 286.1849365234375], [909.419189453125, 368.3719482421875], [897.9602661132812, 368.3719482421875], [915.1486206054688, 410.1864013671875], [905.1221313476562, 408.7445068359375], [939.4988403320312, 439.0239562988281], [910.8515625, 444.7914733886719]]","[[1018.9739379882812, 655.3803100585938], [1026.1092529296875, 651.0615844726562], [1018.9739379882812, 651.0615844726562], [1017.546875, 664.0178833007812], [1043.2340087890625, 664.0178833007812], [1003.2763061523438, 692.8096923828125], [1050.3692626953125, 694.249267578125], [984.7244262695312, 730.239013671875], [1067.4940185546875, 730.239013671875], [969.0267944335938, 761.9099731445312], [1087.472900390625, 756.151611328125], [1011.838623046875, 766.2286987304688], [1040.3798828125, 766.2286987304688], [997.5680541992188, 809.4163818359375], [1024.6822509765625, 810.85595703125], [1011.838623046875, 854.0436401367188], [1017.546875, 858.3624877929688]]","[[714, 426], [1200, 426], [655, 640], [1257, 640], [540, 990], [1371, 990]]","[[588, 457], [588, 640], [1330, 640], [1330, 457]]","[1179, 326]",None,None
57655,"[[905.1043090820312, 300.414306640625], [906.535400390625, 298.98309326171875], [902.241943359375, 298.98309326171875], [909.3976440429688, 303.2767639160156], [899.3796997070312, 301.8455505371094], [909.3976440429688, 317.5890197753906], [896.517333984375, 319.0202331542969], [909.3976440429688, 336.1949462890625], [889.361572265625, 298.98309326171875], [906.535400390625, 286.1020812988281], [906.535400390625, 286.1020812988281], [909.3976440429688, 367.6819152832031], [899.3796997070312, 369.1131286621094], [915.1222534179688, 409.1874694824219], [905.1043090820312, 409.1874694824219], [939.4517211914062, 437.81195068359375], [910.8287963867188, 444.9681091308594]]","[[1018.9693603515625, 655.2376098632812], [1026.105224609375, 650.9169921875], [1018.9693603515625, 650.9169921875], [1017.542236328125, 663.8789672851562], [1043.2308349609375, 663.8789672851562], [1003.270751953125, 692.6835327148438], [1050.36669921875, 694.123779296875], [984.7177734375, 730.12939453125], [1067.492431640625, 730.12939453125], [969.0191040039062, 761.8143920898438], [1087.4725341796875, 756.053466796875], [1011.8336181640625, 766.1350708007812], [1040.3765869140625, 766.1350708007812], [997.5621337890625, 809.3418579101562], [1024.677978515625, 810.7821044921875], [1011.8336181640625, 853.9889526367188], [1017.542236328125, 858.3096923828125]]","[[714, 426], [1200, 426], [655, 640], [1257, 640], [540, 990], [1371, 990]]","[[588, 457], [588, 640], [1330, 640], [1330, 457]]","[1177, 317]",None,None
57656,"[[901.4483642578125, 298.35406494140625], [902.8544311523438, 295.4764404296875], [900.0423583984375, 295.4764404296875], [908.478515625, 296.9152526855469], [898.6362915039062, 296.9152526855469], [908.478515625, 308.4256896972656], [887.3881225585938, 291.1600341796875], [909.884521484375, 269.5779724121094], [887.3881225585938, 291.1600341796875], [908.478515625, 273.8943786621094], [905.66650390625, 272.45556640625], [905.66650390625, 350.1510314941406], [893.0122680664062, 351.58984375], [908.478515625, 393.315185546875], [897.2302856445312, 387.5599365234375], [912.6965942382812, 432.16290283203125], [911.2905883789062, 430.72412109375]]","[[1018.3978881835938, 653.6609497070312], [1024.0986328125, 649.3550415039062], [1012.6970825195312, 647.9197387695312], [1008.4214477539062, 657.9668579101562], [1034.074951171875, 657.9668579101562], [998.4451293945312, 689.5436401367188], [1044.0513916015625, 689.5436401367188], [979.9175415039062, 725.4263305664062], [1059.728515625, 723.9910278320312], [961.3900756835938, 759.8736572265625], [1078.256103515625, 748.3912353515625], [1004.1459350585938, 761.3089599609375], [1034.074951171875, 765.6149291992188], [987.0435791015625, 802.932861328125], [1021.2482299804688, 807.2388305664062], [995.5947265625, 851.7333984375], [1015.5474853515625, 861.7804565429688]]","[[714, 426], [1200, 426], [655, 640], [1257, 640], [540, 990], [1371, 990]]","[[588, 457], [588, 640], [1330, 640], [1330, 457]]","[1174, 309]",None,None
57657,"[[896.4805908203125, 253.5068359375], [900.7745971679688, 244.9143524169922], [893.6179809570312, 252.0747528076172], [906.4998168945312, 252.0747528076172], [890.75537109375, 254.93890380859375], [906.4998168945312, 282.1484069824219], [887.8926391601562, 282.1484069824219], [906.4998168945312, 262.09930419921875], [887.8926391601562, 286.44464111328125], [907.9310913085938, 262.09930419921875], [896.4805908203125, 269.25970458984375], [900.7745971679688, 343.7277526855469], [889.3240356445312, 342.2956848144531], [897.911865234375, 386.69012451171875], [892.1866455078125, 380.9617614746094], [932.2635498046875, 405.3070983886719], [913.6564331054688, 422.49200439453125]]","[[1013.2486572265625, 650.7062377929688], [1017.5291748046875, 646.3829956054688], [1006.1143798828125, 646.3829956054688], [1001.8338012695312, 655.0294189453125], [1028.944091796875, 655.0294189453125], [990.4190063476562, 686.733154296875], [1037.5052490234375, 685.2920532226562], [970.4429321289062, 722.760009765625], [1053.2005615234375, 719.8778686523438], [957.6011962890625, 751.58154296875], [1067.46923828125, 740.0528564453125], [997.5532836914062, 758.7868041992188], [1027.5172119140625, 763.1100463867188], [979.0040283203125, 794.8136596679688], [1018.9561157226562, 806.3424072265625], [979.0040283203125, 849.5745239257812], [1014.6754760742188, 859.662109375]]","[[714, 426], [1200, 426], [655, 640], [1257, 640], [540, 990], [1371, 990]]","[[588, 457], [588, 640], [1330, 640], [1330, 457]]","[1172, 305]",None,None
57658,"[[892.2101440429688, 276.5180358886719], [902.1179809570312, 276.5180358886719], [895.0409545898438, 273.65679931640625], [909.1949462890625, 285.1017761230469], [903.5333862304688, 247.90554809570312], [912.0257568359375, 272.2261657714844], [893.6255493164062, 272.2261657714844], [906.3641357421875, 292.2549133300781], [890.7947387695312, 277.94866943359375], [900.7025756835938, 269.3648986816406], [902.1179809570312, 267.9342956542969], [896.456298828125, 342.32672119140625], [885.1331787109375, 340.8960876464844], [899.2871704101562, 386.67608642578125], [890.7947387695312, 383.8148193359375], [929.0105590820312, 399.55169677734375], [914.8565063476562, 416.7191467285156]]","[[1006.2701416015625, 652.43798828125], [997.7235717773438, 649.5671997070312], [1000.5724487304688, 646.6964111328125], [997.7235717773438, 653.8734130859375], [1021.93896484375, 655.308837890625], [984.9036254882812, 684.0170288085938], [1031.9100341796875, 684.0170288085938], [964.9614868164062, 719.9021606445312], [1047.5787353515625, 717.0314331054688], [947.8682861328125, 751.481201171875], [1063.24755859375, 735.6917114257812], [990.6013793945312, 757.2228393554688], [1021.93896484375, 758.6582641601562], [969.23486328125, 794.5433959960938], [1013.3922729492188, 804.59130859375], [960.688232421875, 849.0889282226562], [1013.3922729492188, 860.5722045898438]]","[[714, 426], [1200, 426], [655, 640], [1257, 640], [540, 990], [1371, 990]]","[[588, 457], [588, 640], [1330, 640], [1330, 457]]","[1171, 302]",None,None
57659,"[[895.7138671875, 278.04339599609375], [899.961669921875, 273.7348937988281], [892.8819580078125, 273.7348937988281], [907.041259765625, 275.1710510253906], [890.0501098632812, 275.1710510253906], [904.2094116210938, 289.5328063964844], [894.2979736328125, 289.5328063964844], [870.2271728515625, 319.6924133300781], [887.21826171875, 289.5328063964844], [901.3775634765625, 282.3519287109375], [891.466064453125, 275.1710510253906], [894.2979736328125, 336.9264831542969], [895.7138671875, 336.9264831542969], [898.5457153320312, 380.0116271972656], [890.0501098632812, 377.1393127441406], [926.8643188476562, 400.1180725097656], [925.4484252929688, 398.6819152832031]]","[[1001.3070678710938, 650.7747192382812], [1005.5967407226562, 645.016357421875], [995.5874633789062, 646.4559326171875], [991.2976684570312, 650.7747192382812], [1015.6061401367188, 650.7747192382812], [978.4285888671875, 681.0062866210938], [1024.185546875, 679.5667114257812], [956.9799194335938, 716.9962768554688], [1038.484619140625, 711.2379150390625], [941.2509765625, 750.1070556640625], [1048.493896484375, 724.1942749023438], [984.148193359375, 752.9862060546875], [1015.6061401367188, 754.4258422851562], [961.2695922851562, 791.8554077148438], [1009.8865356445312, 801.9325561523438], [946.9705200195312, 840.8016967773438], [1012.746337890625, 858.0769653320312]]","[[714, 426], [1200, 426], [655, 640], [1257, 640], [540, 990], [1371, 990]]","[[588, 457], [588, 640], [1330, 640], [1330, 457]]","[1169, 299]",None,None
57660,"[[906.6716918945312, 277.63787841796875], [906.6716918945312, 274.76898193359375], [899.4829711914062, 270.46563720703125], [908.109375, 276.20343017578125], [895.1697998046875, 270.46563720703125], [903.7962036132812, 290.54791259765625], [887.9810791015625, 287.67901611328125], [872.1658935546875, 319.23687744140625], [873.6036987304688, 281.94122314453125], [886.5432739257812, 269.03118896484375], [886.5432739257812, 269.03118896484375], [885.1055908203125, 333.58135986328125], [890.8565673828125, 332.1469421386719], [899.4829711914062, 380.918212890625], [900.9207153320312, 380.918212890625], [922.48681640625, 408.1727294921875], [923.9246215820312, 408.1727294921875]]","[[992.0213623046875, 649.3115234375], [999.1541748046875, 642.1261596679688], [989.1682739257812, 642.1261596679688], [984.8885498046875, 650.7485961914062], [1009.14013671875, 650.7485961914062], [972.0494384765625, 678.0531616210938], [1017.699462890625, 678.0531616210938], [950.6510009765625, 713.9801635742188], [1033.3917236328125, 708.2318725585938], [936.3854370117188, 745.595947265625], [1040.5245361328125, 713.9801635742188], [977.7557983398438, 751.34423828125], [1009.14013671875, 752.7813720703125], [957.7838745117188, 791.5825805664062], [1007.7135620117188, 795.8937377929688], [944.9447631835938, 841.88037109375], [1011.9932861328125, 853.3770141601562]]","[[714, 426], [1200, 426], [655, 640], [1257, 640], [540, 990], [1371, 990]]","[[588, 457], [588, 640], [1330, 640], [1330, 457]]","[1168, 298]",None,None
57661,"[[905.822021484375, 277.65850830078125], [905.822021484375, 274.78668212890625], [898.755126953125, 270.47894287109375], [907.2353515625, 276.22259521484375], [895.9283447265625, 270.47894287109375], [904.4086303710938, 290.5817565917969], [887.4480590820312, 287.7099304199219], [873.314208984375, 319.30010986328125], [873.314208984375, 281.9662780761719], [887.4480590820312, 269.04302978515625], [886.0347290039062, 269.04302978515625], [886.0347290039062, 333.6592712402344], [891.688232421875, 332.2233581542969], [900.1685180664062, 381.04449462890625], [900.1685180664062, 381.04449462890625], [922.7826538085938, 408.326904296875], [924.1959838867188, 408.326904296875]]","[[992.0275268554688, 649.241943359375], [999.1577758789062, 642.0560302734375], [989.1753540039062, 642.0560302734375], [984.897216796875, 650.6791381835938], [1009.1402587890625, 650.6791381835938], [972.0626220703125, 677.9855346679688], [1017.6965942382812, 677.9855346679688], [950.6717529296875, 713.9149780273438], [1033.3831787109375, 708.166259765625], [936.4111938476562, 745.5328979492188], [1040.5135498046875, 713.9149780273438], [977.766845703125, 751.2816162109375], [1009.1402587890625, 752.71875], [957.8020629882812, 791.5226440429688], [1007.714111328125, 795.8341674804688], [944.967529296875, 841.8238525390625], [1011.9923095703125, 853.3212890625]]","[[714, 426], [1200, 426], [655, 640], [1257, 640], [540, 990], [1371, 990]]","[[588, 457], [588, 640], [1330, 640], [1330, 457]]","[1166, 298]",None,None
57662,"[[894.1865844726562, 271.1640319824219], [901.32763671875, 271.1640319824219], [895.6148071289062, 269.7240905761719], [905.6122436523438, 276.9237976074219], [889.9019775390625, 274.0439147949219], [901.32763671875, 292.76318359375], [879.9046020507812, 285.5634460449219], [902.755859375, 308.6025390625], [864.1943359375, 269.7240905761719], [888.4737548828125, 282.6835632324219], [882.7610473632812, 262.5243835449219], [885.6173706054688, 334.521484375], [872.7635498046875, 331.6416015625], [897.0430297851562, 374.8398742675781], [878.476318359375, 361.8804016113281], [915.6097412109375, 409.3984680175781], [915.6097412109375, 407.95855712890625]]","[[986.5068359375, 646.58203125], [990.7945556640625, 640.8334350585938], [982.2191162109375, 640.8334350585938], [980.789794921875, 648.0192260742188], [1003.6578369140625, 648.0192260742188], [965.0681762695312, 676.7623291015625], [1012.2332763671875, 675.3251342773438], [945.0587158203125, 711.2540283203125], [1022.2379760742188, 699.7567749023438], [930.7662353515625, 741.434326171875], [1036.5303955078125, 711.2540283203125], [969.3558959960938, 748.6200561523438], [1000.7992553710938, 748.6200561523438], [953.6341552734375, 787.4232177734375], [1006.5162963867188, 787.4232177734375], [945.0587158203125, 840.5979614257812], [1009.374755859375, 839.1608276367188]]","[[714, 426], [1200, 426], [655, 640], [1257, 640], [540, 990], [1371, 990]]","[[588, 457], [588, 640], [1330, 640], [1330, 457]]","[1164, 298]",None,None
